Program,Dataset,No_Optimization,O1,O2,O3
batik,batik,15.183607709,28.309195353,120.978220539,29.10421456
batik_v1,batik,33.391394592,37.287185201,541.862456927,37.310591063
batik_v2,batik,TIMEOUT,280.394193362,119.065439843,27.251843799
batik_v3,batik,21.99456365,32.635369721,121.300421816,31.737557575
batik_v4,batik,21.03794792,33.566626277,116.297978377,32.553718347
batik_v5,batik,TIMEOUT,200.050306734,121.853728579,33.300179742
biojava,biojava,4.901603263,9.890561736,268.903723794,9.357426186
biojava_v1,biojava,8.091892985,10.693994432,285.67660375,9.711399043
biojava_v2,biojava,TIMEOUT,23.558796121,277.732192372,9.148736818
biojava_v3,biojava,5.588797367,9.660726414,269.053180853,9.599417883
biojava_v4,biojava,5.770422136,9.775662401,267.313899304,10.089860397
biojava_v5,biojava,TIMEOUT,12.107581373,269.699925551,9.822828118
cspa,cspa-httpd,15.122319706,17.938786836,15.826702823,17.991543908
cspa_v1,cspa-httpd,15.23187952,19.916472771,16.10325983,18.300157741
cspa_v2,cspa-httpd,16.41331372,19.261574095,16.019664163,18.233835406
cspa_v3,cspa-httpd,16.73951953,19.726080656,16.666964073,19.770096873
cspa_v4,cspa-httpd,15.817697827,19.767923232,15.41573778,19.612351988
cspa,cspa-linux,4.552677677,6.106735787,5.123716342,6.030474044
cspa_v1,cspa-linux,4.803533622,6.21230642,4.573484725,5.886275047
cspa_v2,cspa-linux,5.294973239,6.304031222,5.249784041,6.325294523
cspa_v3,cspa-linux,5.259937827,6.387346684,5.333892207,6.463489932
cspa_v4,cspa-linux,4.857302103,6.161892496,5.137294617,6.094091138
cspa,cspa-postgresql,15.703244958,18.233028718,15.281425647,18.66932863
cspa_v1,cspa-postgresql,15.737788787,20.393510482,15.597439409,20.87413762
cspa_v2,cspa-postgresql,16.130999414,18.885930687,14.984182829,20.329685456
cspa_v3,cspa-postgresql,15.954410448,20.128140744,16.15054162,20.288579601
cspa_v4,cspa-postgresql,16.064340002,18.878063029,15.230699248,18.71237034
cvc5,cvc5,14.752915563,ERROR,15.045999331,16.203037614
cvc5_v1,cvc5,14.863821943,18.145274707,15.291688718,17.688543243
cvc5_v2,cvc5,13.454025862,14.306707836,13.823614165,14.05601948
cvc5_v3,cvc5,13.483570121,14.110353438,13.80861549,14.312619211
cvc5_v4,cvc5,14.998460975,17.191571434,15.95495842,17.901590157
cvc5_v5,cvc5,14.957973392,17.455087461,14.796964449,17.90410003
eclipse,eclipse,17.512675503,27.161106112,39.609482519,22.089664439
eclipse_v1,eclipse,78.056546034,46.674671607,261.639210507,23.683542488
eclipse_v2,eclipse,TIMEOUT,267.71692295,40.929818488,22.795006721
eclipse_v3,eclipse,17.977907309,28.964800069,39.249611896,21.849470956
eclipse_v4,eclipse,19.254335384,29.291478525,39.394674412,22.140692842
eclipse_v5,eclipse,TIMEOUT,175.107445982,38.370045796,23.236432858
xalan,xalan,3.408741198,7.959904009,102.633388563,7.806366108
xalan_v1,xalan,4.464014101,8.892044022,101.367256994,8.160712708
xalan_v2,xalan,150.233116269,18.847302992,101.583963018,ERROR
xalan_v3,xalan,4.134744296,8.221315792,102.178034287,8.095982212
xalan_v4,xalan,4.222235999,8.062362315,98.031223158,8.091019584
xalan_v5,xalan,135.981346856,8.58282564,104.79131427,7.870935125
z3,z3,28.972772161,32.117700431,ERROR,37.214227101
z3_v1,z3,26.931476461,32.852916858,30.037691162,31.87405511
z3_v2,z3,29.261958364,33.371475139,ERROR,36.432615571
z3_v3,z3,29.446926601,32.57428265,29.469196341,31.288587571
z3_v4,z3,27.721927649,32.100348768,ERROR,37.584497578
z3_v5,z3,29.371220423,34.017171156,30.281865042,32.088160388
zxing,zxing,4.115045847,10.192609283,73.761499838,9.964199906
zxing_v1,zxing,7.322040483,12.476796611,80.46223948,10.296543096
zxing_v2,zxing,TIMEOUT,26.940229094,76.692433602,9.757149518
zxing_v3,zxing,5.189977025,11.114500356,74.429195416,10.80620365
zxing_v4,zxing,5.012988968,10.488046901,75.334978066,10.224140949
