Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.03,0.0,644341760,32012939,1
0.1,795.4,1118220288,128012939,1
0.17,1575.9,1355268096,256012939,1
0.23,1424.6,1583325184,384012939,1
0.3,1515.5,1813487616,512012939,1
0.38,1764.2,2068889600,672012939,1
0.45,1725.3,2224963584,768012939,1
0.51,1407.7,2418184192,896012939,1
0.58,1315.4,2619142144,1024012939,1
0.65,1571.0,2882228224,1184012939,1
0.72,1679.9,3058429952,1312012939,1
0.79,1610.9,3259310080,1440012939,1
0.86,1588.4,3510132736,1600012939,1
0.93,1566.4,3815403520,1728012939,1
0.99,1309.0,4000927744,1856012939,1
1.06,1198.0,4190089216,1984012939,1
1.13,1438.6,4388478976,2144012939,1
1.2,1501.9,4569870336,2272012939,1
1.27,1659.2,4873166848,2432012939,1
1.34,1612.8,5033803776,2656012939,1
1.41,3698.6,5137346560,3072012939,1
1.48,6318.4,5193101312,3200012939,1
1.54,4599.9,5391634432,3424012939,1
1.61,4835.6,5483253760,3744012939,1
1.68,6331.0,5585522688,3936012939,1
1.75,6067.0,5679747072,4256012939,1
1.82,6121.1,5932888064,4384012939,1
1.89,6202.4,6141157376,4640012939,1
1.96,5803.8,6332567552,4832012939,1
2.02,6330.3,6535430144,5056012939,1
2.09,6034.4,6701187072,5344012939,1
2.16,6292.3,6860218368,5568012939,1
2.23,6214.6,6962659328,5792012939,1
2.3,6267.2,7124013056,6080012939,1
2.37,6052.9,7226290176,6272012939,1
2.44,6410.4,7337062400,6496012939,1
2.51,6087.9,7453933568,6720012939,1
2.58,6213.0,7455916032,6976012939,1
2.65,6177.7,7615971328,7200012939,1
2.72,5513.7,7709876224,7392012939,1
2.8,4582.1,7829250048,7648012939,1
2.87,3085.3,7940272128,7872012939,1
2.95,4209.9,8001884160,8256012939,1
3.02,5246.4,8003772416,8544012939,1
3.1,5443.1,8123686912,8832012939,1
3.18,5444.6,8309301248,9088012939,1
3.26,5005.4,8369917952,9376012939,1
3.33,5389.2,8489541632,9664012939,1
3.4,5275.4,8667414528,9856012939,1
3.47,5497.8,8669327360,10144012939,1
3.54,5477.4,8847564800,10464012939,1
3.62,5420.8,8975138816,10624012939,1
3.69,4891.6,9136553984,10880012939,1
3.76,4663.5,9255862272,11136012939,1
3.83,4071.1,9316556800,11424012939,1
3.9,4448.9,9444290560,11616012939,1
3.98,2405.9,9563095040,11776012939,1
4.05,3640.9,9624629248,12192012939,1
4.12,5650.3,9685180416,12416012939,1
4.19,4312.6,9862934528,12608012939,1
4.26,3775.1,9990828032,12864012939,1
4.33,4393.8,9993252864,13280012939,1
4.4,5739.2,10053730304,13472012939,1
4.47,5746.8,10055794688,13760012939,1
4.54,6163.0,10058194944,14048012939,1
4.61,5391.0,10118348800,14208012939,1
4.68,5539.2,10179706880,14592012939,1
4.75,6037.5,10181373952,14784012939,1
4.82,5730.0,10242277376,15104012939,1
4.89,5949.2,10244227072,15328012939,1
4.96,5379.8,10304466944,15552012939,1
5.03,4330.6,10306297856,15776012939,1
5.15,5269.2,10435489792,16224012939,1
5.27,5823.5,10438922240,16640012939,1
5.39,5832.7,10500526080,17024012939,1
5.52,5518.6,10629246976,17408012939,1
5.64,5071.5,10699198464,17760012939,1
5.76,2487.5,10827759616,18112012939,1
5.88,2186.6,10947985408,18464012939,1
6.0,1698.5,10950279168,18559947517,1
6.13,90.4,10918109184,18559947517,1
