Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.03,0.0,3365822464,476037491,1
0.12,6143.7,3365822464,1467556211,1
0.2,6549.9,3365822464,2611569011,1
0.29,6290.1,3365822464,3857572211,1
0.4,6435.7,3365822464,5153218931,1
0.5,6351.8,3365822464,6415057267,1
0.6,6424.6,3365822464,7660093811,1
0.7,6439.5,3365822464,8897724787,1
0.81,6301.4,3365822464,10100597107,1
0.91,6593.1,3365822464,11051475315,1
1.0,6294.6,3365822464,11939537267,1
1.07,6563.7,3365822464,12780314995,1
1.15,6317.6,3365822464,13651222899,1
1.23,6470.6,3365822464,14675657075,1
1.3,6223.6,3365822464,15694135667,1
1.37,6612.8,3365822464,16702644595,1
1.44,6258.3,3365822464,17713946995,1
1.51,6230.4,3365822464,18747924851,1
1.58,6582.2,3365822464,19783926131,1
1.65,6212.8,3365822464,20819861875,1
1.72,6504.3,3365822464,21866234227,1
1.79,6474.9,3365822464,22918644083,1
1.86,6448.5,3365822464,23971840371,1
1.93,6512.1,3365822464,25017721203,1
2.0,6191.0,3365822464,26056606067,1
2.07,6291.9,3365822464,27080679795,1
2.14,6649.7,3365822464,28115460467,1
2.21,6293.4,3365822464,29166362995,1
2.28,6301.9,3365822464,30227448179,1
2.35,6658.4,3365822464,31289049459,1
2.42,6295.4,3365822464,32347087219,1
2.49,6259.0,3365822464,33414234483,1
2.55,6311.0,3365822464,34476573043,1
2.62,6691.2,3365822464,35533963635,1
2.69,6275.1,3365822464,36597604723,1
2.76,6235.9,3365822464,37681725811,1
2.83,6654.3,3365822464,38760538483,1
2.9,6493.9,3365822464,39866540403,1
2.97,6300.0,3365822464,40942674291,1
3.04,6300.5,3365822464,42031145331,1
3.11,6308.2,3365822464,43131085171,1
3.18,6687.4,3365822464,44228772211,1
3.25,6286.3,3365822464,45326598515,1
3.32,6455.4,3365822464,46472020339,1
3.39,6113.7,3365822464,47615082867,1
3.46,6502.3,3365822464,48753000819,1
3.53,6535.0,3365822464,49886986611,1
3.6,6167.4,3365822464,51037872499,1
3.67,6593.9,3365822464,52170228083,1
3.74,6276.3,3365822464,53288853875,1
3.81,6665.4,3365822464,54428942707,1
3.88,6293.7,3365822464,55598571891,1
3.95,6175.9,3365822464,56796553587,1
4.02,6524.7,3365822464,57993666931,1
4.09,6431.2,3365822464,59220042099,1
4.16,6390.3,3365822464,60458090867,1
4.23,6441.5,3365822464,61690626419,1
4.31,6384.0,3365822464,62918418803,1
4.38,6417.4,3365822464,64146448755,1
4.45,6472.2,3365822464,65360650611,1
4.52,6144.6,3365822464,66579153267,1
4.59,6545.8,3365822464,67796910451,1
4.66,6547.0,3365822464,69008810355,1
4.73,6294.7,3365822464,70197543283,1
4.8,6272.7,3365822464,71392338291,1
4.87,6369.5,3365822464,72711471475,1
4.95,6425.4,3365822464,74033398131,1
5.02,6363.8,3365822464,75355775347,1
5.15,6386.3,3365822464,77640769907,1
5.28,6516.9,3365822464,80001565043,1
5.42,6330.0,3365822464,82230993267,1
5.54,6422.7,3365822464,84561076595,1
5.67,6460.9,3365822464,86890250611,1
5.8,6289.0,3365822464,89224503667,1
5.93,6364.8,3365822464,91448107379,1
6.06,6514.2,3365822464,93719871859,1
6.18,6400.9,3365822464,96068493683,1
6.31,6375.6,3365822464,98458632563,1
6.44,6368.1,3365822464,100848984435,1
6.57,6358.0,3365822464,103239352691,1
6.7,6394.6,3365822464,105621897587,1
6.83,6578.6,3365822464,108001870195,1
6.95,6271.2,3365822464,110515855731,1
7.09,6443.8,3365822464,113002144115,1
7.22,6457.4,3365822464,115487736179,1
7.35,6249.4,3365822464,117979373939,1
7.48,6436.5,3365822464,120467120499,1
7.61,6435.1,3365822464,122943611251,1
7.74,6407.9,3365822464,125404160371,1
7.88,6420.5,3365822464,127840477555,1
8.01,6469.5,3365822464,130311274867,1
8.14,6246.9,3365822464,132783956339,1
8.27,6376.4,3365822464,135287882099,1
8.4,6396.4,3365822464,137943015795,1
8.53,6417.0,3365822464,140568281459,1
8.67,6403.0,3365822464,143203041651,1
8.8,6421.7,3365822464,145857659251,1
8.93,6386.0,3365822464,148530946419,1
