Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.03,0.0,5058560,3023120,1
0.1,84.9,11141120,7412960,1
0.17,100.8,17223680,11606240,1
0.24,100.9,23171072,15930560,1
0.31,99.2,29118464,20385920,1
0.38,100.5,35065856,24841280,1
0.45,98.7,41013248,29362160,1
0.52,97.8,47095808,33883040,1
0.6,110.9,53178368,38469440,1
0.67,100.7,59125760,42924800,1
0.74,100.5,64937984,47314640,1
0.81,86.0,70885376,51770000,1
0.88,100.5,76832768,56159840,1
0.95,100.5,82644992,60615200,1
1.02,96.9,88727552,65201600,1
1.09,111.6,94810112,69722480,1
1.16,100.6,100622336,74177840,1
1.23,100.0,106569728,78567680,1
1.3,86.5,112381952,82957520,1
1.37,100.4,118194176,87347360,1
1.44,115.2,124141568,91737200,1
1.51,86.6,129818624,96061520,1
1.58,100.3,135766016,100451360,1
1.65,100.8,141578240,104841200,1
1.72,100.4,147390464,109231040,1
1.79,99.2,153337856,113686400,1
1.86,99.2,159150080,118141760,1
1.93,114.8,164962304,122466080,1
2.0,100.1,170774528,126790400,1
2.07,86.3,176586752,131180240,1
2.14,100.6,182398976,135570080,1
2.21,101.3,188211200,139894400,1
2.28,100.8,194023424,144284240,1
2.34,101.0,199835648,148674080,1
2.41,100.5,205647872,153194960,1
2.48,100.9,211460096,157846880,1
2.55,101.0,217137152,162433280,1
2.62,100.6,222949376,167085200,1
2.69,86.2,228761600,171737120,1
2.76,101.2,234438656,176258000,1
2.83,100.3,240115712,180844400,1
2.9,101.0,245792768,185365280,1
2.97,115.5,251469824,189951680,1
3.04,86.2,257011712,194407040,1
3.11,100.6,262688768,198927920,1
3.18,101.0,268365824,203514320,1
3.25,100.1,274178048,208100720,1
3.32,96.8,279990272,212818160,1
3.39,97.1,285937664,217535600,1
3.46,100.2,291614720,222122000,1
3.53,100.9,297291776,226642880,1
3.6,114.9,302968832,231229280,1
3.67,86.3,308645888,235750160,1
3.74,100.3,314322944,240336560,1
3.81,101.4,320000000,244857440,1
3.88,99.0,325812224,249509360,1
3.95,97.7,331624448,254161280,1
4.02,110.8,337301504,258747680,1
4.09,100.9,342978560,263268560,1
4.16,100.1,348655616,267854960,1
4.23,100.8,354332672,272375840,1
4.3,100.5,360009728,276962240,1
4.37,86.3,365686784,281483120,1
4.44,114.5,371363840,286069520,1
4.51,100.7,377040896,290655920,1
4.58,86.2,382853120,295176800,1
4.65,100.8,388530176,299763200,1
4.72,114.7,394207232,304284080,1
4.79,86.3,399884288,308870480,1
4.86,111.5,405696512,313587920,1
4.93,86.2,411373568,318108800,1
5.0,100.4,417050624,322695200,1
5.07,100.8,422592512,327019520,1
5.19,108.5,432324608,334881920,1
5.31,92.1,442056704,342744320,1
5.43,108.9,451923968,350541200,1
5.55,100.0,461656064,358469120,1
5.67,100.5,471523328,366266000,1
5.79,100.1,481255424,374193920,1
5.91,91.6,491122688,382056320,1
6.03,104.8,500989952,389984240,1
6.15,99.9,510857216,397846640,1
6.27,100.0,520589312,405709040,1
6.39,99.2,530456576,413636960,1
6.51,99.9,540323840,421499360,1
6.63,100.2,550191104,429296240,1
6.75,100.0,559923200,437158640,1
6.87,100.5,569655296,445021040,1
6.99,100.2,579522560,452883440,1
7.11,100.3,588984320,460418240,1
7.23,100.1,598716416,468280640,1
7.35,91.0,608583680,476208560,1
7.47,106.3,618586112,484202000,1
7.6,100.2,628453376,492064400,1
7.71,100.3,638185472,499861280,1
7.83,100.3,647917568,507723680,1
7.95,99.6,657784832,515651600,1
8.07,100.1,667652096,523448480,1
8.19,100.3,676978688,530983280,1
8.31,98.0,686981120,539042240,1
8.44,98.1,696983552,547035680,1
8.56,100.2,706715648,554898080,1
8.68,100.0,716582912,562760480,1
8.8,108.5,726315008,570557360,1
8.92,100.3,736182272,578419760,1
9.04,100.3,745914368,586216640,1
9.16,91.8,755646464,594013520,1
9.28,108.3,765378560,601875920,1
9.4,92.1,774705152,609279680,1
9.52,99.5,784437248,617142080,1
9.64,108.3,794304512,625004480,1
9.76,100.2,804036608,632801360,1
9.88,100.4,813768704,640598240,1
10.0,91.8,823500800,648460640,1
10.12,100.4,833232896,656257520,1
10.34,100.2,851075072,670540880,1
10.56,100.2,868511744,684496640,1
10.78,99.5,886489088,698911040,1
11.0,98.3,904871936,713653040,1
11.22,103.2,923389952,728460560,1
11.44,100.0,941637632,743137040,1
11.66,95.4,959344640,757289360,1
11.88,104.4,977457152,771834800,1
12.1,100.1,995569664,786380240,1
12.32,99.9,1013817344,800925680,1
12.54,99.6,1031929856,815536640,1
12.76,99.7,1049636864,829688960,1
