Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,11804672,12289,1
0.09,0.0,11804672,12289,1
0.16,0.0,11804672,12289,1
0.23,0.0,11804672,12289,1
0.3,0.0,11804672,12289,1
0.37,0.0,11804672,12289,1
0.44,0.0,11804672,12289,1
0.51,0.0,11804672,12289,1
0.57,0.0,11804672,12289,1
0.64,0.0,11804672,12289,1
0.71,0.0,11804672,12289,1
0.78,0.0,11804672,12289,1
0.85,0.0,11804672,12289,1
0.92,0.0,11804672,12289,1
0.99,0.0,11804672,12289,1
1.06,58.1,147558400,12463,1
1.13,305.9,171388928,32012463,1
1.2,348.2,222052352,64012463,1
1.26,379.0,233394176,96012463,1
1.33,367.9,275693568,128012463,1
1.4,360.9,334733312,160012463,1
1.47,346.5,340430848,224012463,1
1.54,362.3,387821568,256012463,1
1.61,363.1,444932096,256012463,1
1.68,349.8,445308928,320012463,1
1.75,348.3,487460864,352012463,1
1.82,376.2,596680704,384012463,1
1.89,375.6,596910080,416012463,1
1.96,385.8,655826944,448012463,1
2.03,399.1,656060416,480012463,1
2.1,390.1,656236544,512012463,1
2.17,375.2,656465920,544012463,1
2.23,404.8,656662528,576012463,1
2.3,376.9,656986112,640012463,1
2.37,347.4,657178624,672012463,1
2.44,376.4,716095488,704012463,1
2.51,391.2,716283904,736012463,1
2.58,391.1,716513280,768012463,1
2.65,393.5,716689408,800012463,1
2.72,390.7,716959744,832012463,1
2.79,406.4,717131776,864012463,1
2.86,390.3,717344768,896012463,1
2.92,363.1,717701120,960012463,1
2.99,415.0,717889536,992012463,1
3.06,316.4,718086144,1024012463,1
3.13,390.9,718331904,1056012463,1
3.2,405.3,718540800,1088012463,1
3.27,350.3,718753792,1120012463,1
3.34,391.8,718921728,1152012463,1
3.41,348.1,786259968,1184012463,1
3.48,349.2,870338560,1216012463,1
3.55,406.2,870572032,1248012463,1
3.62,377.6,870772736,1280012463,1
3.68,389.6,870932480,1312012463,1
3.75,391.5,871202816,1344012463,1
3.82,406.0,871378944,1376012463,1
3.89,364.0,871829504,1423842026,1
3.96,203.3,839880704,1423842026,1
4.03,29.0,840044544,1423842026,1
4.1,0.0,840044544,1423842026,1
4.17,0.0,840044544,1423842026,1
4.24,0.0,840044544,1423842026,1
4.31,0.0,840044544,1423842026,1
4.37,0.0,840044544,1423842026,1
4.44,0.0,840044544,1423842026,1
4.51,58.3,875569152,1423842033,1
4.58,305.1,876040192,1423842033,1
4.65,116.0,876081152,1423842033,1
4.72,131.2,876081152,1423842033,1
4.79,130.6,876081152,1423842033,1
4.86,145.2,876081152,1423842033,1
4.93,145.8,876081152,1423842033,1
4.99,145.3,876081152,1423842033,1
5.06,159.3,876081152,1423842033,1
5.18,141.4,876081152,1423842033,1
5.3,151.0,876081152,1423842033,1
5.42,159.4,876081152,1423842033,1
5.54,260.1,876081152,1423842033,1
5.66,379.5,876093440,1423842033,1
5.78,285.8,876093440,1423842033,1
5.9,285.2,876093440,1423842033,1
6.02,268.6,876093440,1423842033,1
6.14,278.0,876093440,1423842033,1
6.25,260.7,876093440,1423842033,1
6.37,283.6,876093440,1423842033,1
6.49,282.9,876093440,1423842033,1
6.61,268.2,876093440,1423842033,1
6.73,193.0,876339200,1423842033,1
6.85,143.0,876339200,1423842033,1
6.97,141.5,876339200,1423842033,1
7.09,142.6,876339200,1423842033,1
7.21,142.6,876339200,1423842033,1
7.33,151.0,876339200,1423842033,1
7.45,151.0,876339200,1423842033,1
7.57,151.0,876339200,1423842033,1
7.69,142.8,876339200,1423842033,1
7.81,226.5,876339200,1423842033,1
7.92,385.8,876339200,1423842033,1
8.04,402.7,876339200,1423842033,1
8.16,404.7,876339200,1423842033,1
8.28,310.1,876339200,1423842033,1
8.4,117.7,876339200,1423842033,1
8.52,142.6,876339200,1423842033,1
8.64,134.3,876339200,1423842033,1
8.76,159.4,876339200,1423842033,1
8.88,134.2,876339200,1423842033,1
9.0,151.0,876339200,1423842033,1
9.12,143.1,876339200,1423842033,1
9.23,176.4,876339200,1423842033,1
9.35,335.8,876339200,1423842033,1
9.47,361.6,876339200,1423842033,1
9.59,268.6,876339200,1423842033,1
9.71,278.0,876339200,1423842033,1
9.83,292.6,876339200,1423842033,1
9.95,275.5,876339200,1423842033,1
10.07,276.9,876339200,1423842033,1
10.29,273.6,876339200,1423842033,1
10.51,232.5,876523520,1423842033,1
10.73,141.3,876523520,1423842033,1
10.95,141.5,876523520,1423842033,1
11.17,146.1,876523520,1423842033,1
11.38,136.3,876523520,1423842033,1
11.6,145.8,876523520,1423842033,1
11.82,337.9,876523520,1423842033,1
12.04,398.9,876523520,1423842033,1
