Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,2691645440,2678550,1
0.11,5460.7,2703814656,5957674,1
0.2,102.1,2717736960,9808548,1
0.29,90.4,2725466112,12025722,1
0.38,112.1,2731184128,13322452,1
0.47,88.9,2732232704,13827827,1
0.56,0.0,2846085120,19907915,2
0.65,382.4,2896048128,29635116,4
0.73,416.8,2900242432,39358765,4
0.82,395.6,2904436736,47476789,4
0.91,404.5,2908631040,56938269,4
1.0,395.2,2914922496,67472877,4
1.09,405.7,2919116800,76934357,4
1.18,395.1,2923311104,85855181,4
1.27,397.5,2927505408,95857317,4
1.36,404.8,2935894016,105613677,4
1.45,402.4,2940088320,116402245,4
1.54,405.8,2942185472,126404381,4
1.62,388.9,2948476928,136676845,4
1.71,414.8,2952671232,146416837,4
1.8,381.0,2956865536,156410789,4
1.89,404.3,2963156992,166150781,4
1.98,415.4,2967351296,175063421,4
2.07,394.3,2971545600,183443589,4
2.16,403.4,2975739904,191553429,4
2.25,394.0,2979934208,201834077,4
2.34,392.8,2984128512,212376853,4
2.43,403.3,2990419968,223460260,4
2.52,403.7,2996711424,234805795,4
2.61,406.0,3000905728,246159541,4
2.69,384.6,3005100032,256972605,4
2.78,414.4,3009294336,268604851,4
2.87,393.8,3015585792,279417947,4
2.96,404.4,3021877248,290501348,4
3.05,394.2,3023974400,301576572,4
3.14,413.9,3028168704,312659969,4
3.23,393.9,3034460160,323473057,4
3.32,393.4,3038654464,334286145,4
3.41,404.5,3042848768,345369542,4
3.49,416.3,3049140224,356182622,4
3.58,387.7,3053334528,367274210,4
3.67,408.1,3059625984,378619767,4
3.76,381.0,3061723136,389432851,4
3.85,392.4,3068014592,399459487,4
3.94,415.4,3072208896,410518349,4
4.03,405.0,3076403200,421331429,4
4.12,394.5,3080597504,432152694,4
4.21,404.4,3086888960,442425128,4
4.3,403.1,3091083264,453500338,4
4.39,404.0,3095277568,462969976,4
4.48,411.0,3099471872,472431403,4
4.57,388.6,3105763328,483506647,4
4.66,396.1,3109957632,493516925,4
4.75,394.8,3112054784,503248695,4
4.83,393.7,3116249088,513791448,4
4.92,415.2,3122540544,524342390,4
5.01,405.2,3126734848,535409429,4
5.15,388.7,3133026304,550826239,4
5.29,400.1,3139317760,566497036,4
5.43,409.4,3149803520,583003339,4
5.57,403.2,3156094976,599476926,4
5.71,396.1,3162386432,615966877,4
5.85,396.5,3170775040,632456820,4
5.99,86.1,3156799488,633174447,2
6.13,388.4,3197325312,633190321,4
6.27,251.1,3166236672,633301209,2
6.41,144.0,3189850112,633491217,4
6.54,402.5,3198373888,633491217,4
6.68,165.2,3206594560,633618044,4
6.82,149.7,3198205952,633792114,4
6.96,401.9,3208826880,633792114,4
7.1,186.8,3231547392,633918941,4
7.24,143.2,3208478720,634093011,4
7.38,395.4,3219099648,634093011,4
7.52,236.6,3165990912,634203900,2
7.66,209.0,3170631680,634219856,3
7.8,172.8,3212673024,634393909,4
7.94,388.6,3225391104,634393909,4
8.08,215.1,3176476672,634488993,2
8.22,243.9,3294597120,634520736,4
8.36,113.3,3201642496,634678933,2
8.5,393.8,3242168320,634694807,4
8.64,358.9,3182768128,634694825,2
8.78,215.3,3304304640,634805696,2
8.92,323.2,3344830464,634821634,4
9.05,143.4,3252420608,634995705,4
9.19,408.9,3263041536,634995705,4
9.33,366.8,3199447040,635011641,2
9.47,222.1,3344150528,635106594,2
9.61,299.9,3380482048,635122532,4
9.75,136.1,3199447040,635264927,2
9.89,330.0,3269332992,635296603,4
10.03,402.3,3269332992,635296603,4
10.27,384.7,3275624448,635296603,4
10.51,213.2,3409707008,635423430,4
10.75,262.8,3420327936,635423430,4
10.99,246.4,3273527296,635597501,4
11.23,350.7,3248447488,635645064,4
11.47,324.7,3466686464,635724328,4
11.71,177.29999999999998,3245805568,635882526,2
11.95,391.0,3288428544,635898400,4
12.19,267.3,3491717120,636025228,4
12.43,296.8,3500240896,636025228,4
12.67,200.6,3290525696,636199305,4
12.91,357.7,3231125504,636231054,2
13.15,267.7,3309400064,636341906,4
13.39,208.9,3286196224,636563534,4
13.63,386.3,3233222656,636563552,2
13.87,245.79999999999998,3309400064,636706135,4
14.11,191.9,3290390528,636927763,4
14.35,403.3,3307302912,636927763,4
14.59,233.89999999999998,3305070592,637070364,4
14.83,200.6,3260485632,637276117,2
15.07,392.6,3305205760,637291992,4
15.31,240.7,3311497216,637434593,4
15.55,209.0,3292487680,637656221,4
15.79,393.1,3309400064,637656221,4
16.03,237.5,3317788672,637798822,4
16.27,191.6,3266777088,638004575,2
16.51,393.3,3311497216,638020450,4
16.75,229.7,3319885824,638163051,4
16.99,191.8,3268874240,638368804,2
17.23,393.6,3309400064,638384679,4
17.47,217.0,3319885824,638527280,4
17.71,208.6,3273068544,638733033,2
17.94,367.7,3313594368,638748908,4
18.18,229.8,3321982976,638891509,4
18.42,211.0,3275165696,639097262,2
18.67,387.6,3319885824,639113137,4
18.91,237.3,3326177280,639255738,4
19.15,200.39999999999998,3279806464,639466531,3
19.38,371.2,3264679936,639509115,2
19.62,282.3,3326177280,639619967,4
19.87,196.3,3315556352,639841595,4
20.11,312.8,3268874240,639936679,2
20.55,261.5,3311362048,640205824,4
20.98,290.9,3319750656,640348425,4
21.42,297.7,3326177280,640570053,4
21.86,257.4,3270971392,640855102,2
