Time,CPU Percent,MEM Usage,IO Reads,_NProc
0,109.1,6259914833,0,0
.2,132.8,6270652252,0,0
.4,109.1,7054483783,0,0
.6,0.0,7118908293,0,0
.8,80.0,7151120547,0,0
1.0,90.9,7161857966,0,0
1.2,99.1,7183332802,0,0
1.4,90.9,7194070220,0,0
1.6,80.0,7215545057,0,0
1.8,109.1,7226282475,0,0
2.0,98.0,7237019893,0,0
2.2,107.1,7247757312,0,0
2.4,90.0,7269232148,0,0
2.6,99.1,7279969566,0,0
2.8,80.0,7290706984,0,0
3.0,81.8,7301444403,0,0
3.2,86.9,7322919239,0,0
3.4,93.3,7333656657,0,0
3.6,98.0,7344394076,0,0
3.8,107.1,7365868912,0,0
4.0,81.8,7043746365,0,0
4.2,88.9,7065221201,0,0
4.4,84.1,7075958620,0,0
4.6,140.0,7086696038,0,0
4.8,90.0,7108170874,0,0
5.0,99.1,6539087708,0,0
5.2,27.3,6313601925,0,0
5.4,276.7,6356551598,0,0
5.6,130.0,7172595384,0,0
5.8,409.1,7226282475,0,0
6.0,400.0,7537667604,0,0
6.2,400.0,7591354695,0,0
6.4,400.0,7623566950,0,0
6.6,400.0,7752415969,0,0
6.8,400.0,7902739824,0,0
7.0,418.2,8074538516,0,0
7.2,410.0,8203387535,0,0
7.4,400.0,8267812044,0,0
7.6,400.0,8321499136,0,0
7.8,390.9,8493297827,0,0
8.0,409.1,8589934592,0,0
8.2,400.0,8869107466,0,0
8.4,490.6,8933531975,0,0
8.6,570.1,8600672010,0,0
8.8,400.0,8622146846,0,0
9.0,390.0,8686571356,0,0
9.2,409.1,8675833937,0,0
9.4,409.1,8675833937,0,0
9.6,400.0,8793945538,0,0
9.8,409.1,8793945538,0,0
10.0,400.0,8804682956,0,0
10.2,409.1,8997956485,0,0
10.4,400.0,9073118412,0,0
10.6,400.0,9137542922,0,0
10.8,400.0,9277129359,0,0
11.0,400.0,9298604195,0,0
11.2,409.1,9320079032,0,0
11.4,400.0,9363028705,0,0
11.6,400.0,9524089978,0,0
11.8,400.0,9577777070,0,0
12.0,400.0,9728100925,0,0
12.2,381.8,9760313180,0,0
12.4,400.0,9899899617,0,0
12.6,457.3,9953586708,0,0
12.8,380.9,10028748636,0,0
13.0,409.1,10093173145,0,0
13.2,400.0,10082435727,0,0
13.4,400.0,10136122818,0,0
13.6,400.0,10222022164,0,0
13.8,400.0,10318658928,0,0
14.0,400.0,10318658928,0,0
14.2,400.0,10544144711,0,0
14.4,400.0,10651518894,0,0
14.6,400.0,10801842749,0,0
14.8,400.0,11005853696,0,0
15.0,409.1,11038065950,0,0
15.2,400.0,11091753041,0,0
15.4,400.0,11081015623,0,0
15.6,400.0,11113227878,0,0
15.8,402.0,11166914969,0,0
16.0,400.0,11209864642,0,0
16.2,400.0,11317238824,0,0
16.4,400.0,11510512353,0,0
16.6,400.0,11693048463,0,0
16.8,400.0,11907796828,0,0
17.0,400.0,11950746501,0,0
17.2,400.0,11982958755,0,0
17.4,409.1,12025908428,0,0
17.6,400.0,12079595520,0,0
17.8,400.0,12122545192,0,0
18.0,400.0,12165494865,0,0
18.2,400.0,12219181957,0,0
18.4,409.1,12262131630,0,0
18.6,400.0,12315818721,0,0
18.8,400.0,12358768394,0,0
19.0,400.0,12412455485,0,0
19.2,410.0,12380243230,0,0
19.4,400.0,12401718067,0,0
19.6,400.0,12433930321,0,0
19.8,409.1,12444667740,0,0
20.0,409.1,12455405158,0,0
20.2,427.3,12466142576,0,0
20.4,400.0,12476879994,0,0
20.6,390.9,12487617413,0,0
20.8,400.0,12498354831,0,0
21.0,400.0,12519829667,0,0
21.2,400.0,12519829667,0,0
21.4,418.2,12541304504,0,0
21.6,400.0,12552041922,0,0
21.8,400.0,12562779340,0,0
22.0,400.0,12573516759,0,0
22.2,400.0,12584254177,0,0
22.4,400.0,12594991595,0,0
22.6,400.0,12605729013,0,0
22.8,409.1,12616466432,0,0
23.0,400.0,12627203850,0,0
23.2,400.0,12637941268,0,0
23.4,400.0,12648678686,0,0
23.6,436.4,12659416104,0,0
23.8,400.0,12670153523,0,0
24.0,400.0,12680890941,0,0
24.2,409.1,12691628359,0,0
24.4,400.0,12702365777,0,0
24.6,418.2,12713103196,0,0
24.8,400.0,12723840614,0,0
25.0,400.0,12734578032,0,0
25.2,400.0,12756052869,0,0
25.4,400.0,12756052869,0,0
25.6,400.0,12766790287,0,0
25.8,400.0,12788265123,0,0
26.0,409.1,12799002542,0,0
26.2,400.0,12799002542,0,0
26.4,400.0,12820477378,0,0
26.6,400.0,12831214796,0,0
26.8,419.1,12841952215,0,0
27.0,409.1,12852689633,0,0
27.2,400.0,12863427051,0,0
27.4,400.0,12874164469,0,0
27.6,400.0,12884901888,0,0
27.8,400.0,12895639306,0,0
28.0,409.1,12906376724,0,0
28.2,400.0,12917114142,0,0
28.4,400.0,12927851560,0,0
28.6,409.1,12938588979,0,0
28.8,409.1,12949326397,0,0
29.0,400.0,12960063815,0,0
29.2,400.0,12970801233,0,0
29.4,400.0,12981538652,0,0
29.6,400.0,12981538652,0,0
29.8,400.0,12992276070,0,0
30.0,400.0,13013750906,0,0
30.2,409.1,13024488325,0,0
30.4,400.0,13035225743,0,0
30.6,400.0,13045963161,0,0
30.8,400.0,13056700579,0,0
31.0,400.0,13067437998,0,0
31.2,400.0,13078175416,0,0
31.4,400.0,13088912834,0,0
31.6,409.1,13099650252,0,0
31.8,400.0,13121125089,0,0
32.0,400.0,13131862507,0,0
32.2,400.0,13142599925,0,0
32.4,400.0,13153337344,0,0
32.6,400.0,13164074762,0,0
32.8,400.0,13185549598,0,0
33.0,400.0,13196287016,0,0
33.2,400.0,13207024435,0,0
33.4,400.0,13217761853,0,0
33.6,400.0,13228499271,0,0
33.8,400.0,13260711526,0,0
34.0,400.0,13271448944,0,0
34.2,400.0,13271448944,0,0
34.4,420.0,13292923781,0,0
34.6,390.9,13303661199,0,0
34.8,400.0,13314398617,0,0
35.0,400.0,13325136035,0,0
35.2,408.3,13335873454,0,0
35.4,400.0,13346610872,0,0
35.6,400.0,13368085708,0,0
35.8,409.1,13389560545,0,0
36.0,400.0,13400297963,0,0
36.2,400.0,13411035381,0,0
36.4,400.0,13421772800,0,0
36.6,400.0,13432510218,0,0
36.8,400.0,13443247636,0,0
37.0,400.0,13464722472,0,0
37.2,400.0,13464722472,0,0
37.4,400.0,13475459891,0,0
37.6,400.0,13486197309,0,0
37.8,410.0,13496934727,0,0
38.0,400.0,13507672145,0,0
38.2,400.0,13529146982,0,0
38.4,400.0,13529146982,0,0
38.6,400.0,13539884400,0,0
38.8,400.0,13561359237,0,0
39.0,409.1,13572096655,0,0
39.2,409.1,13582834073,0,0
39.4,400.0,13593571491,0,0
39.6,400.0,13604308910,0,0
39.8,400.0,13615046328,0,0
40.0,400.0,13625783746,0,0
40.2,400.0,13636521164,0,0
40.4,409.1,13647258583,0,0
40.6,400.0,13657996001,0,0
40.8,400.0,13668733419,0,0
41.0,400.0,13679470837,0,0
41.2,400.0,13690208256,0,0
41.4,409.1,13690208256,0,0
41.6,409.1,13700945674,0,0
41.8,400.0,13711683092,0,0
42.0,400.0,13722420510,0,0
42.2,400.0,13733157928,0,0
42.4,400.0,13743895347,0,0
42.6,400.0,13754632765,0,0
42.8,400.0,13754632765,0,0
43.0,400.0,13765370183,0,0
43.2,400.0,13776107601,0,0
43.4,400.0,13776107601,0,0
43.6,400.0,13786845020,0,0
43.8,400.0,13797582438,0,0
44.0,409.1,13797582438,0,0
44.2,400.0,13808319856,0,0
44.4,400.0,13808319856,0,0
44.6,400.0,13819057274,0,0
44.8,400.0,13829794693,0,0
45.0,409.1,13840532111,0,0
45.2,400.0,13840532111,0,0
45.4,400.0,13851269529,0,0
45.6,400.0,13862006947,0,0
45.8,409.1,13872744366,0,0
46.0,400.0,13872744366,0,0
46.2,400.0,13894219202,0,0
46.4,400.0,13894219202,0,0
46.6,400.0,13904956620,0,0
46.8,409.1,13915694039,0,0
47.0,400.0,13915694039,0,0
47.2,400.0,13926431457,0,0
47.4,400.0,13937168875,0,0
47.6,400.0,13937168875,0,0
47.8,400.0,13947906293,0,0
48.0,409.1,13958643712,0,0
48.2,400.0,13969381130,0,0
48.4,409.1,13969381130,0,0
48.6,400.0,13980118548,0,0
48.8,400.0,13990855966,0,0
49.0,400.0,14001593384,0,0
49.2,400.0,14012330803,0,0
49.4,427.3,14012330803,0,0
49.6,400.0,14033805639,0,0
49.8,400.0,14044543057,0,0
50.0,400.0,14055280476,0,0
50.2,400.0,14066017894,0,0
50.4,400.0,14087492730,0,0
50.6,400.0,14098230149,0,0
50.8,400.0,14108967567,0,0
51.0,400.0,14130442403,0,0
51.2,400.0,14141179822,0,0
51.4,400.0,14151917240,0,0
51.6,400.0,14162654658,0,0
51.8,428.2,14173392076,0,0
52.0,400.0,14184129495,0,0
52.2,409.1,14194866913,0,0
52.4,418.2,14216341749,0,0
52.6,400.0,14216341749,0,0
52.8,400.0,14227079168,0,0
53.0,420.0,14237816586,0,0
53.2,409.1,14248554004,0,0
53.4,400.0,14259291422,0,0
53.6,418.2,14270028840,0,0
53.8,400.0,14280766259,0,0
54.0,400.0,14280766259,0,0
54.2,400.0,14291503677,0,0
54.4,400.0,14302241095,0,0
54.6,400.0,14312978513,0,0
54.8,400.0,14323715932,0,0
55.0,400.0,14334453350,0,0
55.2,400.0,14334453350,0,0
55.4,400.0,14345190768,0,0
55.6,400.0,14355928186,0,0
