Time,CPU Percent,MEM Usage,IO Reads,_NProc
0,100.0,6034429050,0,0
.2,119.1,6034429050,0,0
.4,120.0,6034429050,0,0
.6,133.1,6045166469,0,0
.8,459.5,6710886400,0,0
1.0,0.0,6893422510,0,0
1.2,109.1,6925634764,0,0
1.4,99.1,6936372183,0,0
1.6,90.9,6947109601,0,0
1.8,90.0,6968584437,0,0
2.0,90.0,6979321856,0,0
2.2,90.9,6990059274,0,0
2.4,90.0,7000796692,0,0
2.6,90.0,7022271528,0,0
2.8,90.0,7033008947,0,0
3.0,90.9,7043746365,0,0
3.2,90.0,7054483783,0,0
3.4,100.0,7065221201,0,0
3.6,81.8,7075958620,0,0
3.8,144.7,7097433456,0,0
4.0,90.9,6753836072,0,0
4.2,90.0,6764573491,0,0
4.4,109.1,6775310909,0,0
4.6,90.0,6786048327,0,0
4.8,108.2,6796785745,0,0
5.0,100.0,6807523164,0,0
5.2,90.0,6818260582,0,0
5.4,90.0,6839735418,0,0
5.6,90.0,6850472837,0,0
5.8,99.1,6861210255,0,0
6.0,100.0,6871947673,0,0
6.2,100.9,6882685091,0,0
6.4,90.0,6893422510,0,0
6.6,90.0,6904159928,0,0
6.8,81.8,6914897346,0,0
7.0,88.9,6925634764,0,0
7.2,108.2,6936372183,0,0
7.4,100.0,6957847019,0,0
7.6,90.9,6968584437,0,0
7.8,90.9,6979321856,0,0
8.0,99.1,6990059274,0,0
8.2,100.0,7000796692,0,0
8.4,100.0,7022271528,0,0
8.6,88.9,7033008947,0,0
8.8,80.0,7043746365,0,0
9.0,109.1,7054483783,0,0
9.2,109.1,7065221201,0,0
9.4,83.3,7075958620,0,0
9.6,90.0,7086696038,0,0
9.8,90.0,7097433456,0,0
10.0,100.0,7108170874,0,0
10.2,97.2,7118908293,0,0
10.4,99.1,7140383129,0,0
10.6,99.1,7151120547,0,0
10.8,90.0,7161857966,0,0
11.0,100.0,7172595384,0,0
11.2,109.1,7183332802,0,0
11.4,90.0,7194070220,0,0
11.6,88.9,7204807639,0,0
11.8,100.0,7215545057,0,0
12.0,90.9,7226282475,0,0
12.2,1961.7,7226282475,0,0
12.4,66.4,6088116142,0,0
12.6,168.3,6077378723,0,0
12.8,184.8,6743098654,0,0
13.0,3207.1,7569879859,0,0
13.2,3200.0,7580617277,0,0
13.4,3200.0,7580617277,0,0
13.6,3200.0,7591354695,0,0
13.8,3209.1,7591354695,0,0
14.0,2736.0,8826157793,0,0
14.2,2889.2,10383083438,0,0
14.4,2298.3,13078175416,0,0
14.6,567.0,13421772800,0,0
14.8,36.4,6496138035,0,0
15.0,4884.2,6506875453,0,0
