Time,Total_CPU_Percent,Per_Core_CPU_Avg,Current_Memory_GB,Total_Memory_GB,Memory_Percent
0,100.0,0.8,5.62,268.81,2.1
.2,119.1,0.9,5.62,268.81,2.1
.4,120.0,0.9,5.62,268.81,2.1
.6,133.1,1.0,5.63,268.81,2.1
.8,459.5,3.6,6.25,268.81,2.3
1.0,0.0,0.0,6.42,268.81,2.4
1.2,109.1,0.9,6.45,268.81,2.4
1.4,99.1,0.8,6.46,268.81,2.4
1.6,90.9,0.7,6.47,268.81,2.4
1.8,90.0,0.7,6.49,268.81,2.4
2.0,90.0,0.7,6.50,268.81,2.4
2.2,90.9,0.7,6.51,268.81,2.4
2.4,90.0,0.7,6.52,268.81,2.4
2.6,90.0,0.7,6.54,268.81,2.4
2.8,90.0,0.7,6.55,268.81,2.4
3.0,90.9,0.7,6.56,268.81,2.4
3.2,90.0,0.7,6.57,268.81,2.4
3.4,100.0,0.8,6.58,268.81,2.4
3.6,81.8,0.6,6.59,268.81,2.5
3.8,144.7,1.1,6.61,268.81,2.5
4.0,90.9,0.7,6.29,268.81,2.3
4.2,90.0,0.7,6.30,268.81,2.3
4.4,109.1,0.9,6.31,268.81,2.3
4.6,90.0,0.7,6.32,268.81,2.4
4.8,108.2,0.8,6.33,268.81,2.4
5.0,100.0,0.8,6.34,268.81,2.4
5.2,90.0,0.7,6.35,268.81,2.4
5.4,90.0,0.7,6.37,268.81,2.4
5.6,90.0,0.7,6.38,268.81,2.4
5.8,99.1,0.8,6.39,268.81,2.4
6.0,100.0,0.8,6.40,268.81,2.4
6.2,100.9,0.8,6.41,268.81,2.4
6.4,90.0,0.7,6.42,268.81,2.4
6.6,90.0,0.7,6.43,268.81,2.4
6.8,81.8,0.6,6.44,268.81,2.4
7.0,88.9,0.7,6.45,268.81,2.4
7.2,108.2,0.8,6.46,268.81,2.4
7.4,100.0,0.8,6.48,268.81,2.4
7.6,90.9,0.7,6.49,268.81,2.4
7.8,90.9,0.7,6.50,268.81,2.4
8.0,99.1,0.8,6.51,268.81,2.4
8.2,100.0,0.8,6.52,268.81,2.4
8.4,100.0,0.8,6.54,268.81,2.4
8.6,88.9,0.7,6.55,268.81,2.4
8.8,80.0,0.6,6.56,268.81,2.4
9.0,109.1,0.9,6.57,268.81,2.4
9.2,109.1,0.9,6.58,268.81,2.4
9.4,83.3,0.7,6.59,268.81,2.5
9.6,90.0,0.7,6.60,268.81,2.5
9.8,90.0,0.7,6.61,268.81,2.5
10.0,100.0,0.8,6.62,268.81,2.5
10.2,97.2,0.8,6.63,268.81,2.5
10.4,99.1,0.8,6.65,268.81,2.5
10.6,99.1,0.8,6.66,268.81,2.5
10.8,90.0,0.7,6.67,268.81,2.5
11.0,100.0,0.8,6.68,268.81,2.5
11.2,109.1,0.9,6.69,268.81,2.5
11.4,90.0,0.7,6.70,268.81,2.5
11.6,88.9,0.7,6.71,268.81,2.5
11.8,100.0,0.8,6.72,268.81,2.5
12.0,90.9,0.7,6.73,268.81,2.5
12.2,1961.7,15.3,6.73,268.81,2.5
12.4,66.4,0.5,5.67,268.81,2.1
12.6,168.3,1.3,5.66,268.81,2.1
12.8,184.8,1.4,6.28,268.81,2.3
13.0,3207.1,25.1,7.05,268.81,2.6
13.2,3200.0,25.0,7.06,268.81,2.6
13.4,3200.0,25.0,7.06,268.81,2.6
13.6,3200.0,25.0,7.07,268.81,2.6
13.8,3209.1,25.1,7.07,268.81,2.6
14.0,2736.0,21.4,8.22,268.81,3.1
14.2,2889.2,22.6,9.67,268.81,3.6
14.4,2298.3,18.0,12.18,268.81,4.5
14.6,567.0,4.4,12.50,268.81,4.7
14.8,36.4,0.3,6.05,268.81,2.2
15.0,4884.2,38.2,6.06,268.81,2.3
