Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,18202624,1156537,1
0.09,101.6,21348352,3524025,1
0.16,102.3,27639808,5866937,1
0.23,101.8,40222720,8226233,1
0.3,102.3,40222720,10560953,1
0.37,101.8,40222720,12912057,1
0.44,87.6,40222720,15263161,1
0.5,101.9,65388544,17614265,1
0.57,101.9,65388544,19973561,1
0.64,87.3,65388544,22316473,1
0.71,117.0,65388544,24659385,1
0.78,101.9,65388544,27010489,1
0.85,87.6,65388544,29353401,1
0.92,116.5,65388544,31720889,1
0.98,87.6,115720192,34063801,1
1.05,101.7,115720192,36390329,1
1.12,102.3,115720192,38733241,1
1.19,101.6,115720192,41092537,1
1.26,102.2,115720192,43443641,1
1.33,87.3,115720192,45802937,1
1.4,100.5,115720192,48195001,1
1.47,101.7,115720192,50562489,1
1.53,101.6,115720192,52921785,1
1.6,111.4,115720192,55379385,1
1.68,101.2,115720192,57755065,1
1.74,87.2,115720192,60114361,1
1.81,101.9,115720192,62473657,1
1.88,102.3,115720192,64816569,1
1.95,101.8,216383488,67167673,1
2.02,100.2,216383488,69559737,1
2.09,87.5,216383488,71910841,1
2.16,116.1,216383488,74270137,1
2.23,102.3,216383488,76613049,1
2.29,87.2,216383488,78972345,1
2.36,102.3,216383488,81315257,1
2.43,101.7,216383488,83674553,1
2.5,102.1,216383488,86017465,1
2.57,101.1,216383488,88393145,1
2.64,99.9,216383488,90793401,1
2.71,86.8,216383488,93160889,1
2.78,116.1,216383488,95520185,1
2.85,87.8,216383488,97863097,1
2.92,101.8,216383488,100222393,1
2.98,101.2,216383488,102598073,1
3.05,101.9,216383488,104900025,1
3.12,102.7,216383488,107234745,1
3.19,87.4,216383488,109585849,1
3.26,116.7,216383488,111936953,1
3.33,86.1,216383488,114320825,1
3.4,116.7,216383488,116671929,1
3.47,102.0,216383488,119014841,1
3.53,88.1,216383488,121349561,1
3.6,102.3,216383488,123700665,1
3.67,102.0,216383488,126068153,1
3.74,102.3,216383488,128443833,1
3.81,87.7,216383488,130811321,1
3.88,101.7,417710080,133170617,1
3.94,102.2,417710080,135538105,1
4.01,101.9,417710080,137913785,1
4.08,87.4,417710080,140289465,1
4.15,116.2,417710080,142681529,1
4.22,101.6,417710080,145065401,1
4.29,102.1,417710080,147441081,1
4.36,87.2,417710080,149816761,1
4.43,102.3,417710080,152184249,1
4.49,101.8,417710080,154559929,1
4.56,101.6,417710080,156951993,1
4.63,102.0,417710080,159327673,1
4.7,102.4,417710080,161695161,1
4.77,101.8,417710080,164070841,1
4.84,102.2,417710080,166438329,1
4.91,101.9,417710080,168814009,1
4.97,102.2,417710080,171181497,1
5.04,87.2,417710080,173573561,1
5.16,101.2,417710080,177685945,1
5.28,100.9,417710080,181790137,1
5.4,101.2,417710080,185902521,1
5.52,101.0,417710080,190023097,1
5.64,101.2,417710080,194086329,1
5.76,91.9,417710080,198231481,1
5.88,100.0,417710080,202376633,1
6.0,100.9,417710080,206497209,1
6.11,108.9,417710080,210617785,1
6.23,92.3,417710080,214754745,1
6.35,100.9,417710080,218875321,1
6.47,100.4,417710080,223004089,1
6.59,101.0,417710080,227124665,1
6.71,101.2,417710080,231228857,1
6.83,100.8,417710080,235357625,1
6.95,92.8,417710080,239461817,1
7.07,109.3,417710080,243582393,1
7.18,92.9,417710080,247678393,1
7.3,101.0,417710080,251790777,1
7.42,101.1,417710080,255894969,1
7.54,100.9,417710080,260023737,1
7.66,100.8,820363264,264103353,1
7.78,101.2,820363264,268207545,1
7.9,92.5,820363264,272319929,1
8.02,109.7,820363264,276432313,1
8.13,100.9,820363264,280544697,1
8.25,92.7,820363264,284648889,1
8.37,100.0,820363264,288810425,1
8.49,100.7,820363264,292939193,1
8.61,100.9,820363264,297059769,1
8.73,101.1,820363264,301172153,1
8.85,100.8,820363264,305292729,1
8.97,91.9,820363264,309446073,1
9.09,99.9,820363264,313607609,1
9.21,100.2,820363264,317752761,1
9.33,109.6,820363264,321856953,1
9.45,101.0,820363264,325977529,1
9.57,92.8,820363264,330081721,1
9.68,100.9,820363264,334202297,1
9.8,109.7,820363264,338314681,1
9.92,92.6,820363264,342435257,1
10.04,101.2,820363264,346539449,1
10.26,95.8,820363264,354141625,1
10.48,105.1,820363264,361727417,1
10.7,95.5,820363264,369345977,1
10.92,100.5,820363264,376923577,1
11.14,100.3,820363264,384525753,1
11.35,100.5,820363264,392111545,1
11.57,100.0,820363264,399721913,1
11.79,100.4,820363264,407307705,1
12.01,100.6,820363264,414885305,1
12.23,100.1,820363264,422487481,1
12.45,100.1,820363264,430097849,1
12.67,100.5,820363264,437675449,1
12.89,100.5,820363264,445253049,1
13.11,96.0,820363264,452830649,1
13.33,99.9,820363264,460465593,1
13.55,100.6,820363264,468043193,1
13.77,104.8,820363264,475645369,1
13.99,100.3,820363264,483239353,1
14.21,95.8,820363264,490841529,1
14.42,100.6,820363264,498427321,1
14.64,100.4,820363264,506021305,1
14.86,100.4,820363264,513623481,1
15.08,100.5,820363264,521094585,1
15.3,100.4,1625669632,528606649,1
15.52,99.8,1625669632,536249785,1
15.74,100.1,1625669632,543851961,1
15.96,100.4,1625669632,551445945,1
16.18,100.5,1625669632,559023545,1
16.4,99.6,1625669632,566658489,1
16.62,100.3,1625669632,574260665,1
16.84,100.3,1625669632,581862841,1
17.06,100.5,1625669632,589465017,1
17.28,95.8,1625669632,597059001,1
17.5,105.2,1625669632,604636601,1
17.71,95.8,1625669632,612222393,1
17.93,100.6,1625669632,619791801,1
18.15,100.4,1625669632,627385785,1
18.37,100.1,1625669632,634906041,1
18.59,100.4,1625669632,642500025,1
18.81,100.1,1625669632,650110393,1
19.03,100.2,1625669632,657720761,1
19.25,95.9,1625669632,665306553,1
19.47,100.6,1625669632,672884153,1
19.69,105.0,1625669632,680469945,1
19.91,95.7,1625669632,688072121,1
20.13,105.1,1625669632,695657913,1
20.54,97.8,1625669632,710190521,1
20.96,100.2,1625669632,724723129,1
21.38,100.0,1625669632,739288505,1
21.8,99.9,1625669632,753862073,1
22.22,99.9,1625669632,768427449,1
22.64,100.2,1625669632,782960057,1
23.06,100.1,1625669632,797492665,1
23.48,99.9,1625669632,812017081,1
23.9,100.2,1625669632,826533305,1
24.32,100.1,1625669632,841065913,1
24.74,100.1,1625669632,855582137,1
25.16,99.8,1625669632,870147513,1
25.58,99.9,1625669632,884712889,1
26.0,100.0,1625669632,899245497,1
26.42,99.9,1625669632,913794489,1
26.84,100.2,1625669632,928310713,1
27.26,100.1,1625669632,942851513,1
27.68,100.0,1625669632,957392313,1
28.1,100.1,1625669632,971933113,1
28.52,97.8,1625669632,986441145,1
28.94,102.5,1625669632,1000973753,1
29.36,100.2,1625669632,1015473593,1
29.78,97.9,1625669632,1029989817,1
30.2,100.1,1625669632,1044522425,1
30.62,100.0,3236282368,1058915769,1
31.04,102.6,3236282368,1073431993,1
31.46,100.0,3236282368,1087972793,1
31.88,99.9,3426258944,1088349760,1
32.3,97.6,3616378880,1088349760,1
32.72,102.5,3897401344,1088349760,1
33.14,97.8,3995504640,1088349760,1
33.56,100.0,3995504640,1088349760,1
33.98,100.2,4557545472,1088349760,1
34.4,100.2,4347826176,1088349760,1
34.81,99.8,4755984384,1088349760,1
35.24,100.1,4755984384,1088349760,1
35.66,97.7,4755984384,1088349760,1
36.08,102.6,4755984384,1088349760,1
36.49,100.0,4755984384,1088349760,1
36.91,100.1,5880061952,1088349760,1
37.33,100.1,5880061952,1088349760,1
37.75,97.7,5460627456,1088349760,1
38.17,102.2,6265933824,1088349760,1
38.59,99.9,6265933824,1088349760,1
39.01,100.2,6276943872,1088349760,1
39.43,97.8,6276943872,1088349760,1
39.85,100.0,6276943872,1088349760,1
40.27,100.2,6276943872,1088349760,1
41.09,99.9,6276943872,1088349760,1
41.91,101.1,6276943872,1088349760,1
42.73,99.9,7417798656,1088349760,1
43.55,99.9,8525094912,1088349760,1
44.38,99.8,7686230016,1088349760,1
45.2,99.9,7686230016,1088349760,1
46.02,100.0,9296842752,1088349760,1
46.84,201.4,10578272256,1088349760,1
47.67,394.0,7995330560,1088349760,1
48.49,387.2,7760625664,1088349760,1
49.31,305.8,8676421632,1088349760,1
50.13,348.8,11848609792,1088349760,1
50.95,335.0,11848609792,1088349760,1
51.77,325.2,11859230720,1088349760,1
52.59,348.7,12062949376,1088349760,1
53.41,312.3,12113829888,1088349760,1
54.23,329.9,12201525248,1088349760,1
55.06,330.2,12383059968,1088349760,1
55.88,318.2,12688498688,1088349760,1
