Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,158068736,32011785,1
0.09,347.5,215953408,32011785,1
0.16,347.0,273948672,64011785,1
0.23,376.5,282845184,128011785,1
0.3,333.1,375459840,160011785,1
0.37,387.4,381050880,192011785,1
0.44,391.2,381411328,224011785,1
0.51,376.9,388210688,256011785,1
0.58,363.0,438919168,320011785,1
0.65,391.8,446496768,352011785,1
0.72,405.4,446672896,384011785,1
0.78,378.5,447000576,448011785,1
0.85,391.7,514310144,480011785,1
0.92,347.3,514494464,512011785,1
0.99,336.4,615337984,544011785,1
1.06,345.3,665858048,596564048,1
1.13,228.4,665985024,596564048,1
1.2,101.9,633982976,596564048,1
1.27,0.0,633982976,596564048,1
1.34,0.0,633982976,596564048,1
1.41,0.0,633982976,596564048,1
1.47,14.5,669597696,600309293,1
1.54,217.2,669630464,600309293,1
1.61,393.9,669650944,600309293,1
1.68,348.9,669650944,600309293,1
1.75,379.8,669691904,600309293,1
1.82,319.4,669691904,600309293,1
1.89,333.4,669749248,600309293,1
1.96,375.8,669757440,600309293,1
2.03,326.5,669777920,600309293,1
2.1,262.1,728498176,600309293,1
2.16,291.1,728539136,600309293,1
2.23,319.5,728768512,600309293,1
2.3,375.9,728768512,600309293,1
2.37,290.1,728813568,600309293,1
2.44,348.1,728813568,600309293,1
2.51,291.9,728813568,600309293,1
2.58,333.8,812748800,600309293,1
2.65,101.4,812748800,600309293,1
2.72,160.3,812748800,600309293,1
2.78,275.6,812761088,600309293,1
2.85,362.2,812761088,600309293,1
2.92,288.8,812797952,600309293,1
2.99,348.4,812847104,600309293,1
3.06,289.2,812847104,600309293,1
3.13,330.2,812855296,600309293,1
3.2,314.5,812855296,600309293,1
3.27,290.3,812855296,600309293,1
3.34,304.5,812908544,600309293,1
3.41,304.7,812908544,600309293,1
3.48,329.9,812908544,600309293,1
3.55,304.4,812908544,600309293,1
3.62,289.3,980680704,600309293,1
3.69,101.5,980680704,600309293,1
3.76,101.4,980680704,600309293,1
3.83,145.3,980680704,600309293,1
3.89,334.8,980680704,600309293,1
3.96,377.1,980680704,600309293,1
4.03,394.2,980680704,600309293,1
4.1,319.3,981184512,600309293,1
4.17,377.3,981184512,600309293,1
4.24,334.3,981184512,600309293,1
4.31,386.9,981184512,600309293,1
4.38,342.2,981204992,600309293,1
4.45,388.5,981258240,600309293,1
4.52,318.6,981258240,600309293,1
4.59,375.5,981258240,600309293,1
4.65,318.6,981258240,600309293,1
4.72,361.5,981258240,600309293,1
4.79,362.1,981258240,600309293,1
4.86,333.1,981307392,600309293,1
4.93,361.8,981372928,600309293,1
5.0,344.2,981372928,600309293,1
5.07,360.8,981372928,600309293,1
5.19,342.2,981372928,600309293,1
5.31,349.6,981463040,600309293,1
5.43,290.8,981463040,600309293,1
5.55,361.0,981479424,600309293,1
5.67,344.1,981508096,600309293,1
5.79,343.9,981549056,600309293,1
5.91,343.4,981585920,600309293,1
6.03,226.1,1319268352,600309293,1
6.15,100.8,1319268352,600309293,1
6.26,100.7,1319268352,600309293,1
6.38,100.8,1319268352,600309293,1
6.5,301.5,1319268352,600309293,1
