Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,1083170816,39278693,1
0.09,391.1,1083170816,120453221,1
0.16,394.6,1083170816,203241573,1
0.23,393.3,1083170816,287209573,1
0.3,391.7,1083170816,371365989,1
0.37,438.4,1083170816,454473829,1
0.44,389.4,1083170816,539261029,1
0.51,391.8,1083170816,622475365,1
0.57,406.1,1083170816,706828389,1
0.64,380.0,1083170816,789379173,1
0.71,420.3,1083170816,872560741,1
0.78,406.1,1083170816,956291173,1
0.85,379.4,1083170816,1038940261,1
0.92,407.1,1083170816,1122523237,1
0.99,391.4,1083170816,1205762149,1
1.06,422.0,1083170816,1288722533,1
1.13,392.1,1083170816,1371854949,1
1.19,389.3,1083170816,1455339621,1
1.26,392.7,1083170816,1538963557,1
1.33,420.4,1083170816,1622161509,1
1.4,406.4,1083170816,1705908325,1
1.47,393.8,1083170816,1788631141,1
1.54,391.0,1083170816,1872369765,1
1.61,420.6,1083170816,1955747941,1
1.68,393.1,1083170816,2038814821,1
1.75,392.0,1083170816,2122233957,1
1.81,387.4,1083170816,2206529637,1
1.88,415.2,1083170816,2290899045,1
1.95,402.6,1083170816,2374957157,1
2.02,400.4,1083170816,2401198465,1
2.09,392.6,1083170816,2401198465,1
2.16,392.6,1083170816,2401198465,1
2.23,393.7,1083170816,2401198465,1
2.3,407.5,1083170816,2401198465,1
2.37,394.5,1083170816,2401198465,1
2.44,421.1,1083170816,2401198465,1
2.51,391.2,1083170816,2401198465,1
2.57,394.1,1083170816,2401198465,1
2.64,392.2,1083170816,2401198465,1
2.71,394.3,1083170816,2401198465,1
2.78,421.1,1083170816,2401198465,1
2.85,391.9,1083170816,2401198465,1
2.92,405.3,1083170816,2401198465,1
2.99,393.3,1083170816,2401198465,1
3.06,420.2,1083170816,2401198465,1
3.12,391.5,1083170816,2401198465,1
3.19,394.2,1083170816,2401198465,1
3.26,392.2,1083170816,2401198465,1
3.33,406.4,1083170816,2401198465,1
3.4,394.3,1083170816,2401198465,1
3.47,420.0,1083170816,2401198465,1
3.54,391.3,1083170816,2401198465,1
3.61,394.4,1083170816,2401198465,1
3.67,392.3,1083170816,2401198465,1
3.74,420.2,5680136192,2401198465,1
3.81,391.2,5680136192,2401198465,1
3.88,393.2,5680136192,2401198465,1
3.95,406.8,5680136192,2401198465,1
4.02,390.1,5680136192,2401198465,1
4.09,420.8,5680136192,2401198465,1
4.16,394.0,5680136192,2401198465,1
4.23,392.1,5680136192,2401198465,1
4.29,391.3,5680136192,2401198465,1
4.36,393.3,5680136192,2401198465,1
4.43,413.6,5680136192,2401198465,1
4.5,391.5,5680136192,2401198465,1
4.57,393.8,5680136192,2401198465,1
4.64,422.0,5680136192,2401198465,1
4.71,392.7,5680136192,2401198465,1
4.78,408.8,5680136192,2401198465,1
4.85,392.9,5680136192,2401198465,1
4.91,393.9,5680136192,2401198465,1
4.98,392.8,5680136192,2401198465,1
5.05,419.4,5680136192,2401198465,1
5.17,385.5,5680136192,2401198465,1
5.29,413.6,5680136192,2401198465,1
5.41,405.2,5680136192,2401198465,1
5.53,378.5,5680136192,2401198465,1
5.65,411.9,5680136192,2401198465,1
5.77,404.8,5680136192,2401198465,1
5.88,403.3,5680136192,2401198465,1
6.0,393.2,5680136192,2401198465,1
6.12,395.3,5680136192,2401198465,1
6.24,403.1,5680136192,2401198465,1
6.36,404.6,5680136192,2401198465,1
6.48,387.2,5680136192,2401198465,1
6.6,404.9,5680136192,2401198465,1
6.72,411.9,5680136192,2401198465,1
6.84,387.2,5680136192,2401198465,1
6.95,403.4,5680136192,2401198465,1
7.07,403.7,5680136192,2401198465,1
7.19,388.3,5680136192,2401198465,1
7.31,403.2,5680136192,2401198465,1
7.43,404.5,5680136192,2401198465,1
7.55,402.5,5680136192,2401198465,1
7.67,411.1,5680136192,2401198465,1
7.79,386.9,5680136192,2401198465,1
7.91,403.5,5680136192,2401198465,1
8.02,404.7,5680136192,2401198465,1
8.14,386.7,5680136192,2401198465,1
8.26,402.0,5680136192,2401198465,1
8.38,401.3,5680136192,2401198465,1
8.5,405.4,5680136192,2401198465,1
8.62,395.7,5680136192,2401198465,1
8.74,403.9,5680136192,2401198465,1
8.86,396.1,5680136192,2401198465,1
8.98,410.9,5680136192,2401198465,1
9.1,385.8,5680136192,2401198465,1
9.21,402.5,5680136192,2401198465,1
9.33,404.1,5680136192,2401198465,1
9.45,404.0,5680136192,2401198465,1
9.57,396.9,5680136192,2401198465,1
9.69,395.7,5680136192,2401198465,1
9.81,412.4,5680136192,2401198465,1
9.93,379.3,5680136192,2401198465,1
10.05,412.3,5680136192,2401198465,1
10.26,402.4,5680136192,2401198465,1
10.48,393.0,5680136192,2401198465,1
10.7,401.4,5680136192,2401198465,1
10.92,401.8,5680136192,2401198465,1
11.14,402.3,5680136192,2401198465,1
11.36,393.7,10960764928,2401198465,1
