Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,5038080,1974800,1
0.09,101.1,12877824,5643920,1
0.16,101.9,20582400,9116480,1
0.23,87.6,28016640,12720080,1
0.3,102.7,35180544,16192640,1
0.37,101.0,42479616,20189360,1
0.44,100.7,49913856,24251600,1
0.51,101.9,57212928,28248320,1
0.57,87.3,64376832,32114000,1
0.64,116.8,71811072,36176240,1
0.71,101.8,79245312,40172960,1
0.78,87.6,86544384,44235200,1
0.85,101.8,93978624,48231920,1
0.92,116.8,101412864,52097600,1
0.99,87.2,108441600,55963280,1
1.05,114.1,115605504,59894480,1
1.12,86.2,122904576,63891200,1
1.19,115.8,130203648,67887920,1
1.26,87.0,137637888,71819120,1
1.33,101.6,144801792,75750320,1
1.4,101.4,152100864,79681520,1
1.47,87.9,159129600,83612720,1
1.54,115.9,166428672,87543920,1
1.61,87.6,173592576,91409600,1
1.68,101.7,180756480,95275280,1
1.75,101.7,187650048,99009920,1
1.81,87.4,194813952,103006640,1
1.88,101.5,201977856,106806800,1
1.95,116.0,209006592,110672480,1
2.02,100.5,216305664,114669200,1
2.09,87.1,223604736,118534880,1
2.16,101.6,230768640,122597120,1
2.23,117.3,237662208,126266240,1
2.3,87.1,244690944,130131920,1
2.37,102.2,251854848,134194160,1
2.43,101.7,259018752,138125360,1
2.5,102.3,265912320,141991040,1
2.57,101.6,272805888,145660160,1
2.64,102.1,279158784,149067200,1
2.71,87.3,285241344,152408720,1
2.78,101.1,290783232,155357120,1
2.85,102.2,295919616,158240000,1
2.91,87.3,302542848,161843600,1
2.98,115.9,309301248,165578240,1
3.05,102.2,315924480,169116320,1
3.12,87.7,322953216,172982000,1
3.19,102.0,329981952,176847680,1
3.26,116.9,337010688,180713360,1
3.33,87.3,343769088,184382480,1
3.4,102.2,350257152,188313680,1
3.46,101.5,357015552,192375920,1
3.53,101.6,363638784,196438160,1
3.6,102.1,369991680,200369360,1
3.67,88.1,376344576,204300560,1
3.74,102.4,382832640,208297280,1
3.81,101.9,389320704,212359520,1
3.88,101.9,395132928,215963120,1
3.94,101.8,400945152,219501200,1
4.01,87.0,407433216,223366880,1
4.08,117.0,413921280,227363600,1
4.15,101.7,420409344,231294800,1
4.22,101.5,426762240,235357040,1
4.29,87.6,433115136,239288240,1
4.36,101.8,439197696,242957360,1
4.43,102.1,445820928,247019600,1
4.49,100.8,452173824,250885280,1
4.56,101.3,458797056,255013040,1
4.63,100.7,465420288,259009760,1
4.7,102.2,472043520,263006480,1
4.77,87.2,478531584,267003200,1
4.84,102.4,485019648,270999920,1
4.91,101.8,491642880,275062160,1
4.98,102.3,498130944,279124400,1
5.04,101.9,504754176,283121120,1
5.16,101.0,516108288,290197280,1
5.28,92.5,526381056,296552720,1
5.4,100.5,535572480,302056400,1
5.52,109.2,546521088,308870480,1
5.64,101.2,557740032,315619040,1
5.76,92.5,569094144,322629680,1
5.88,100.7,580583424,329640320,1
6.0,100.8,591802368,336454400,1
6.12,100.4,603156480,343399520,1
6.23,100.5,614645760,350410160,1
6.35,100.8,625864704,357355280,1
6.47,100.7,637083648,364300400,1
6.59,100.8,648572928,371311040,1
6.71,101.5,660062208,378256160,1
6.83,92.7,671145984,385070240,1
6.95,101.0,682364928,392080880,1
7.07,101.1,693583872,398763920,1
7.19,101.2,704802816,405643520,1
7.3,101.0,716021760,412523120,1
7.42,100.9,727511040,419533760,1
7.54,92.6,739000320,426413360,1
7.66,101.1,750084096,433227440,1
7.78,109.4,761167872,440107040,1
7.9,92.7,772792320,447052160,1
8.02,108.6,783876096,453931760,1
8.14,91.8,795095040,460811360,1
8.26,100.8,806449152,467625440,1
8.38,109.2,817803264,474636080,1
8.49,92.6,829427712,481646720,1
8.61,100.8,840646656,488526320,1
8.73,100.9,851865600,495405920,1
8.85,93.0,863084544,502351040,1
8.97,101.1,874303488,509296160,1
9.09,100.7,885387264,516110240,1
9.21,109.2,896471040,522989840,1
9.33,84.1,907825152,530000480,1
9.45,101.0,919449600,536814560,1
9.56,109.2,930668544,543759680,1
9.68,100.7,942022656,550770320,1
9.8,92.4,953376768,557780960,1
9.92,101.1,964730880,564660560,1
10.04,100.7,975544320,571343600,1
10.26,100.6,996225024,584185520,1
10.48,104.5,1017311232,596889063,1
10.7,228.0,1076391936,600306708,1
10.92,296.4,1101545472,600306708,1
11.14,278.0,1137164288,600306708,1
11.36,272.4,1158963200,600306708,1
11.58,299.5,1175945216,600306709,1
11.8,278.7,1194868736,600306709,1
12.02,246.4,1217847296,600306709,1
12.23,237.6,1239040000,600306709,1
12.45,242.0,1256476672,600306709,1
12.67,256.1,1270939648,600306709,1
12.89,273.7,1285132288,600306709,1
13.11,260.7,1299054592,600306709,1
13.33,251.0,1312165888,600306709,1
13.55,251.2,1327845376,600306709,1
13.77,237.2,1340416000,600306709,1
13.99,232.5,1354608640,600306709,1
14.21,214.1,1370828800,600306709,1
14.43,228.0,1384345600,600306709,1
14.64,255.7,1396375552,600306709,1
14.86,258.9,1408811008,600306709,1
15.08,249.5,1420705792,600306709,1
15.3,269.3,1432735744,600306709,1
15.52,227.9,1445982208,600306709,1
15.74,209.9,1460580352,600306709,1
15.96,223.3,1470853120,600306709,1
16.18,251.4,1482477568,600306709,1
16.4,218.8,1495453696,600306709,1
16.62,255.2,1507078144,600306709,1
16.84,242.0,1518161920,600306709,1
17.06,215.0,1530867712,600306709,1
17.28,232.6,1542762496,600306709,1
17.5,242.1,1551818752,600306709,1
17.71,242.5,1558982656,600306709,1
17.93,223.7,1566957568,600306709,1
