Time,Total_CPU_Percent,Per_Core_CPU_Avg,Current_Memory_GB,Total_Memory_GB,Memory_Percent
0,109.1,0.9,5.83,268.81,2.2
.2,132.8,1.0,5.84,268.81,2.2
.4,109.1,0.9,6.57,268.81,2.4
.6,0.0,0.0,6.63,268.81,2.5
.8,80.0,0.6,6.66,268.81,2.5
1.0,90.9,0.7,6.67,268.81,2.5
1.2,99.1,0.8,6.69,268.81,2.5
1.4,90.9,0.7,6.70,268.81,2.5
1.6,80.0,0.6,6.72,268.81,2.5
1.8,109.1,0.9,6.73,268.81,2.5
2.0,98.0,0.8,6.74,268.81,2.5
2.2,107.1,0.8,6.75,268.81,2.5
2.4,90.0,0.7,6.77,268.81,2.5
2.6,99.1,0.8,6.78,268.81,2.5
2.8,80.0,0.6,6.79,268.81,2.5
3.0,81.8,0.6,6.80,268.81,2.5
3.2,86.9,0.7,6.82,268.81,2.5
3.4,93.3,0.7,6.83,268.81,2.5
3.6,98.0,0.8,6.84,268.81,2.5
3.8,107.1,0.8,6.86,268.81,2.6
4.0,81.8,0.6,6.56,268.81,2.4
4.2,88.9,0.7,6.58,268.81,2.4
4.4,84.1,0.7,6.59,268.81,2.5
4.6,140.0,1.1,6.60,268.81,2.5
4.8,90.0,0.7,6.62,268.81,2.5
5.0,99.1,0.8,6.09,268.81,2.3
5.2,27.3,0.2,5.88,268.81,2.2
5.4,276.7,2.2,5.92,268.81,2.2
5.6,130.0,1.0,6.68,268.81,2.5
5.8,409.1,3.2,6.73,268.81,2.5
6.0,400.0,3.1,7.02,268.81,2.6
6.2,400.0,3.1,7.07,268.81,2.6
6.4,400.0,3.1,7.10,268.81,2.6
6.6,400.0,3.1,7.22,268.81,2.7
6.8,400.0,3.1,7.36,268.81,2.7
7.0,418.2,3.3,7.52,268.81,2.8
7.2,410.0,3.2,7.64,268.81,2.8
7.4,400.0,3.1,7.70,268.81,2.9
7.6,400.0,3.1,7.75,268.81,2.9
7.8,390.9,3.1,7.91,268.81,2.9
8.0,409.1,3.2,8.00,268.81,3.0
8.2,400.0,3.1,8.26,268.81,3.1
8.4,490.6,3.8,8.32,268.81,3.1
8.6,570.1,4.5,8.01,268.81,3.0
8.8,400.0,3.1,8.03,268.81,3.0
9.0,390.0,3.0,8.09,268.81,3.0
9.2,409.1,3.2,8.08,268.81,3.0
9.4,409.1,3.2,8.08,268.81,3.0
9.6,400.0,3.1,8.19,268.81,3.0
9.8,409.1,3.2,8.19,268.81,3.0
10.0,400.0,3.1,8.20,268.81,3.1
10.2,409.1,3.2,8.38,268.81,3.1
10.4,400.0,3.1,8.45,268.81,3.1
10.6,400.0,3.1,8.51,268.81,3.2
10.8,400.0,3.1,8.64,268.81,3.2
11.0,400.0,3.1,8.66,268.81,3.2
11.2,409.1,3.2,8.68,268.81,3.2
11.4,400.0,3.1,8.72,268.81,3.2
11.6,400.0,3.1,8.87,268.81,3.3
11.8,400.0,3.1,8.92,268.81,3.3
12.0,400.0,3.1,9.06,268.81,3.4
12.2,381.8,3.0,9.09,268.81,3.4
12.4,400.0,3.1,9.22,268.81,3.4
12.6,457.3,3.6,9.27,268.81,3.4
12.8,380.9,3.0,9.34,268.81,3.5
13.0,409.1,3.2,9.40,268.81,3.5
13.2,400.0,3.1,9.39,268.81,3.5
13.4,400.0,3.1,9.44,268.81,3.5
13.6,400.0,3.1,9.52,268.81,3.5
13.8,400.0,3.1,9.61,268.81,3.6
14.0,400.0,3.1,9.61,268.81,3.6
14.2,400.0,3.1,9.82,268.81,3.7
14.4,400.0,3.1,9.92,268.81,3.7
14.6,400.0,3.1,10.06,268.81,3.7
14.8,400.0,3.1,10.25,268.81,3.8
15.0,409.1,3.2,10.28,268.81,3.8
15.2,400.0,3.1,10.33,268.81,3.8
15.4,400.0,3.1,10.32,268.81,3.8
15.6,400.0,3.1,10.35,268.81,3.9
15.8,402.0,3.1,10.40,268.81,3.9
16.0,400.0,3.1,10.44,268.81,3.9
16.2,400.0,3.1,10.54,268.81,3.9
16.4,400.0,3.1,10.72,268.81,4.0
16.6,400.0,3.1,10.89,268.81,4.1
16.8,400.0,3.1,11.09,268.81,4.1
17.0,400.0,3.1,11.13,268.81,4.1
17.2,400.0,3.1,11.16,268.81,4.2
17.4,409.1,3.2,11.20,268.81,4.2
17.6,400.0,3.1,11.25,268.81,4.2
17.8,400.0,3.1,11.29,268.81,4.2
18.0,400.0,3.1,11.33,268.81,4.2
18.2,400.0,3.1,11.38,268.81,4.2
18.4,409.1,3.2,11.42,268.81,4.2
18.6,400.0,3.1,11.47,268.81,4.3
18.8,400.0,3.1,11.51,268.81,4.3
19.0,400.0,3.1,11.56,268.81,4.3
19.2,410.0,3.2,11.53,268.81,4.3
19.4,400.0,3.1,11.55,268.81,4.3
19.6,400.0,3.1,11.58,268.81,4.3
19.8,409.1,3.2,11.59,268.81,4.3
20.0,409.1,3.2,11.60,268.81,4.3
20.2,427.3,3.3,11.61,268.81,4.3
20.4,400.0,3.1,11.62,268.81,4.3
20.6,390.9,3.1,11.63,268.81,4.3
20.8,400.0,3.1,11.64,268.81,4.3
21.0,400.0,3.1,11.66,268.81,4.3
21.2,400.0,3.1,11.66,268.81,4.3
21.4,418.2,3.3,11.68,268.81,4.3
21.6,400.0,3.1,11.69,268.81,4.3
21.8,400.0,3.1,11.70,268.81,4.4
22.0,400.0,3.1,11.71,268.81,4.4
22.2,400.0,3.1,11.72,268.81,4.4
22.4,400.0,3.1,11.73,268.81,4.4
22.6,400.0,3.1,11.74,268.81,4.4
22.8,409.1,3.2,11.75,268.81,4.4
23.0,400.0,3.1,11.76,268.81,4.4
23.2,400.0,3.1,11.77,268.81,4.4
23.4,400.0,3.1,11.78,268.81,4.4
23.6,436.4,3.4,11.79,268.81,4.4
23.8,400.0,3.1,11.80,268.81,4.4
24.0,400.0,3.1,11.81,268.81,4.4
24.2,409.1,3.2,11.82,268.81,4.4
24.4,400.0,3.1,11.83,268.81,4.4
24.6,418.2,3.3,11.84,268.81,4.4
24.8,400.0,3.1,11.85,268.81,4.4
25.0,400.0,3.1,11.86,268.81,4.4
25.2,400.0,3.1,11.88,268.81,4.4
25.4,400.0,3.1,11.88,268.81,4.4
25.6,400.0,3.1,11.89,268.81,4.4
25.8,400.0,3.1,11.91,268.81,4.4
26.0,409.1,3.2,11.92,268.81,4.4
26.2,400.0,3.1,11.92,268.81,4.4
26.4,400.0,3.1,11.94,268.81,4.4
26.6,400.0,3.1,11.95,268.81,4.4
26.8,419.1,3.3,11.96,268.81,4.4
27.0,409.1,3.2,11.97,268.81,4.5
27.2,400.0,3.1,11.98,268.81,4.5
27.4,400.0,3.1,11.99,268.81,4.5
27.6,400.0,3.1,12.00,268.81,4.5
27.8,400.0,3.1,12.01,268.81,4.5
28.0,409.1,3.2,12.02,268.81,4.5
28.2,400.0,3.1,12.03,268.81,4.5
28.4,400.0,3.1,12.04,268.81,4.5
28.6,409.1,3.2,12.05,268.81,4.5
28.8,409.1,3.2,12.06,268.81,4.5
29.0,400.0,3.1,12.07,268.81,4.5
29.2,400.0,3.1,12.08,268.81,4.5
29.4,400.0,3.1,12.09,268.81,4.5
29.6,400.0,3.1,12.09,268.81,4.5
29.8,400.0,3.1,12.10,268.81,4.5
30.0,400.0,3.1,12.12,268.81,4.5
30.2,409.1,3.2,12.13,268.81,4.5
30.4,400.0,3.1,12.14,268.81,4.5
30.6,400.0,3.1,12.15,268.81,4.5
30.8,400.0,3.1,12.16,268.81,4.5
31.0,400.0,3.1,12.17,268.81,4.5
31.2,400.0,3.1,12.18,268.81,4.5
31.4,400.0,3.1,12.19,268.81,4.5
31.6,409.1,3.2,12.20,268.81,4.5
31.8,400.0,3.1,12.22,268.81,4.5
32.0,400.0,3.1,12.23,268.81,4.5
32.2,400.0,3.1,12.24,268.81,4.6
32.4,400.0,3.1,12.25,268.81,4.6
32.6,400.0,3.1,12.26,268.81,4.6
32.8,400.0,3.1,12.28,268.81,4.6
33.0,400.0,3.1,12.29,268.81,4.6
33.2,400.0,3.1,12.30,268.81,4.6
33.4,400.0,3.1,12.31,268.81,4.6
33.6,400.0,3.1,12.32,268.81,4.6
33.8,400.0,3.1,12.35,268.81,4.6
34.0,400.0,3.1,12.36,268.81,4.6
34.2,400.0,3.1,12.36,268.81,4.6
34.4,420.0,3.3,12.38,268.81,4.6
34.6,390.9,3.1,12.39,268.81,4.6
34.8,400.0,3.1,12.40,268.81,4.6
35.0,400.0,3.1,12.41,268.81,4.6
35.2,408.3,3.2,12.42,268.81,4.6
35.4,400.0,3.1,12.43,268.81,4.6
35.6,400.0,3.1,12.45,268.81,4.6
35.8,409.1,3.2,12.47,268.81,4.6
36.0,400.0,3.1,12.48,268.81,4.6
36.2,400.0,3.1,12.49,268.81,4.6
36.4,400.0,3.1,12.50,268.81,4.6
36.6,400.0,3.1,12.51,268.81,4.7
36.8,400.0,3.1,12.52,268.81,4.7
37.0,400.0,3.1,12.54,268.81,4.7
37.2,400.0,3.1,12.54,268.81,4.7
37.4,400.0,3.1,12.55,268.81,4.7
37.6,400.0,3.1,12.56,268.81,4.7
37.8,410.0,3.2,12.57,268.81,4.7
38.0,400.0,3.1,12.58,268.81,4.7
38.2,400.0,3.1,12.60,268.81,4.7
38.4,400.0,3.1,12.60,268.81,4.7
38.6,400.0,3.1,12.61,268.81,4.7
38.8,400.0,3.1,12.63,268.81,4.7
39.0,409.1,3.2,12.64,268.81,4.7
39.2,409.1,3.2,12.65,268.81,4.7
39.4,400.0,3.1,12.66,268.81,4.7
39.6,400.0,3.1,12.67,268.81,4.7
39.8,400.0,3.1,12.68,268.81,4.7
40.0,400.0,3.1,12.69,268.81,4.7
40.2,400.0,3.1,12.70,268.81,4.7
40.4,409.1,3.2,12.71,268.81,4.7
40.6,400.0,3.1,12.72,268.81,4.7
40.8,400.0,3.1,12.73,268.81,4.7
41.0,400.0,3.1,12.74,268.81,4.7
41.2,400.0,3.1,12.75,268.81,4.7
41.4,409.1,3.2,12.75,268.81,4.7
41.6,409.1,3.2,12.76,268.81,4.7
41.8,400.0,3.1,12.77,268.81,4.7
42.0,400.0,3.1,12.78,268.81,4.8
42.2,400.0,3.1,12.79,268.81,4.8
42.4,400.0,3.1,12.80,268.81,4.8
42.6,400.0,3.1,12.81,268.81,4.8
42.8,400.0,3.1,12.81,268.81,4.8
43.0,400.0,3.1,12.82,268.81,4.8
43.2,400.0,3.1,12.83,268.81,4.8
43.4,400.0,3.1,12.83,268.81,4.8
43.6,400.0,3.1,12.84,268.81,4.8
43.8,400.0,3.1,12.85,268.81,4.8
44.0,409.1,3.2,12.85,268.81,4.8
44.2,400.0,3.1,12.86,268.81,4.8
44.4,400.0,3.1,12.86,268.81,4.8
44.6,400.0,3.1,12.87,268.81,4.8
44.8,400.0,3.1,12.88,268.81,4.8
45.0,409.1,3.2,12.89,268.81,4.8
45.2,400.0,3.1,12.89,268.81,4.8
45.4,400.0,3.1,12.90,268.81,4.8
45.6,400.0,3.1,12.91,268.81,4.8
45.8,409.1,3.2,12.92,268.81,4.8
46.0,400.0,3.1,12.92,268.81,4.8
46.2,400.0,3.1,12.94,268.81,4.8
46.4,400.0,3.1,12.94,268.81,4.8
46.6,400.0,3.1,12.95,268.81,4.8
46.8,409.1,3.2,12.96,268.81,4.8
47.0,400.0,3.1,12.96,268.81,4.8
47.2,400.0,3.1,12.97,268.81,4.8
47.4,400.0,3.1,12.98,268.81,4.8
47.6,400.0,3.1,12.98,268.81,4.8
47.8,400.0,3.1,12.99,268.81,4.8
48.0,409.1,3.2,13.00,268.81,4.8
48.2,400.0,3.1,13.01,268.81,4.8
48.4,409.1,3.2,13.01,268.81,4.8
48.6,400.0,3.1,13.02,268.81,4.8
48.8,400.0,3.1,13.03,268.81,4.8
49.0,400.0,3.1,13.04,268.81,4.9
49.2,400.0,3.1,13.05,268.81,4.9
49.4,427.3,3.3,13.05,268.81,4.9
49.6,400.0,3.1,13.07,268.81,4.9
49.8,400.0,3.1,13.08,268.81,4.9
