================================================================================
INDIVIDUAL RESULTS WITH TOTAL TIME
================================================================================
Program              Dataset              Load(s)      Exec(s)      Total(s)    
--------------------------------------------------------------------------------
cc                   livejournal          4.4087       4.8683       9.2770      
cc_v1                livejournal          3.8727       4.9839       8.8566      
cc                   orkut                6.3643       5.6578       12.0221     
cc_v1                orkut                8.8096       6.2666       15.0762     
cc                   arabic               32.2636      32.8625      65.1261     
cc_v1                arabic               35.5131      34.7811      70.2942     
cc                   twitter              78.6629      67.6496      146.3125    
cc_v1                twitter              79.8906      64.0849      143.9755    
reach                livejournal          4.1902       1.0305       5.2207      
reach_v1             livejournal          4.0781       0.9649       5.0430      
reach                orkut                5.6829       2.7941       8.4770      
reach_v1             orkut                7.7031       2.2862       9.9893      
reach                arabic               33.8540      7.9265       41.7805     
reach_v1             arabic               33.4976      6.2941       39.7917     
reach                twitter              79.3327      14.1378      93.4705     
reach_v1             twitter              78.0520      18.0978      96.1498     
tc                   G10K-0.001           0.0118       8.5072       8.5190      
tc_v1                G10K-0.001           0.0075       8.4790       8.4865      
tc                   G20K-0.001           0.0215       42.1676      42.1891     
tc_v1                G20K-0.001           0.0224       42.5196      42.5420     
tc                   G40K-0.001           0.1322       306.9844     307.1166    
tc_v1                G40K-0.001           0.0717       304.2629     304.3346    
sg                   G10K-0.001           0.0125       17.8560      17.8685     
sg_v1                G10K-0.001           0.0171       18.7467      18.7638     
sg_v2                G10K-0.001           0.0142       18.4847      18.4989     
sg                   G20K-0.001           0.0353       90.6729      90.7082     
sg_v1                G20K-0.001           0.0372       91.0916      91.1288     
sg_v2                G20K-0.001           0.0248       84.9313      84.9561     
sg                   G40K-0.001           0.1336       829.2732     829.4068    
sg_v1                G40K-0.001           0.1356       815.7738     815.9094    
sg_v2                G40K-0.001           0.1313       722.3978     722.5291    
bipartite            netflix              6.7449       2.0553       8.8002      
bipartite_v1         netflix              7.9105       1.8891       9.7996      
bipartite_v2         netflix              7.8512       2.0649       9.9161      
bipartite_v3         netflix              5.2028       2.1906       7.3934      
bipartite            roadNet-CA           0.4959       0.8718       1.3677      
bipartite_v1         roadNet-CA           0.4036       0.8741       1.2777      
bipartite_v2         roadNet-CA           0.3904       0.8533       1.2437      
bipartite_v3         roadNet-CA           0.5001       0.8614       1.3615      
