| Program-Dataset           | No Optimization   | O1                | O2                | O3                |
|---------------------------|-------------------|-------------------|-------------------|-------------------|
| batik_batik          |         15.183608 |         28.309195 |        120.978221 |         29.104215 |
| batik_v1_batik       |         33.391395 |         37.287185 |        541.862457 |         37.310591 |
| batik_v2_batik       | TIMEOUT           |        280.394193 |        119.065440 |         27.251844 |
| batik_v3_batik       |         21.994564 |         32.635370 |        121.300422 |         31.737558 |
| batik_v4_batik       |         21.037948 |         33.566626 |        116.297978 |         32.553718 |
| batik_v5_batik       | TIMEOUT           |        200.050307 |        121.853729 |         33.300180 |
| biojava_biojava      |          4.901603 |          9.890562 |        268.903724 |          9.357426 |
| biojava_v1_biojava   |          8.091893 |         10.693994 |        285.676604 |          9.711399 |
| biojava_v2_biojava   | TIMEOUT           |         23.558796 |        277.732192 |          9.148737 |
| biojava_v3_biojava   |          5.588797 |          9.660726 |        269.053181 |          9.599418 |
| biojava_v4_biojava   |          5.770422 |          9.775662 |        267.313899 |         10.089860 |
| biojava_v5_biojava   | TIMEOUT           |         12.107581 |        269.699926 |          9.822828 |
| cspa_cspa-httpd      |         15.122320 |         17.938787 |         15.826703 |         17.991544 |
| cspa_v1_cspa-httpd   |         15.231880 |         19.916473 |         16.103260 |         18.300158 |
| cspa_v2_cspa-httpd   |         16.413314 |         19.261574 |         16.019664 |         18.233835 |
| cspa_v3_cspa-httpd   |         16.739520 |         19.726081 |         16.666964 |         19.770097 |
| cspa_v4_cspa-httpd   |         15.817698 |         19.767923 |         15.415738 |         19.612352 |
| cspa_cspa-linux      |          4.552678 |          6.106736 |          5.123716 |          6.030474 |
| cspa_v1_cspa-linux   |          4.803534 |          6.212306 |          4.573485 |          5.886275 |
| cspa_v2_cspa-linux   |          5.294973 |          6.304031 |          5.249784 |          6.325295 |
| cspa_v3_cspa-linux   |          5.259938 |          6.387347 |          5.333892 |          6.463490 |
| cspa_v4_cspa-linux   |          4.857302 |          6.161892 |          5.137295 |          6.094091 |
| cspa_cspa-postgresql |         15.703245 |         18.233029 |         15.281426 |         18.669329 |
| cspa_v1_cspa-postgresql |         15.737789 |         20.393510 |         15.597439 |         20.874138 |
| cspa_v2_cspa-postgresql |         16.130999 |         18.885931 |         14.984183 |         20.329685 |
| cspa_v3_cspa-postgresql |         15.954410 |         20.128141 |         16.150542 |         20.288580 |
| cspa_v4_cspa-postgresql |         16.064340 |         18.878063 |         15.230699 |         18.712370 |
| cvc5_cvc5            |         14.752916 |         14.936477 |         15.045999 |         16.203038 |
| cvc5_v1_cvc5         |         14.863822 |         18.145275 |         15.291689 |         17.688543 |
| cvc5_v2_cvc5         |         13.454026 |         14.306708 |         13.823614 |         14.056019 |
| cvc5_v3_cvc5         |         13.483570 |         14.110353 |         13.808615 |         14.312619 |
| cvc5_v4_cvc5         |         14.998461 |         17.191571 |         15.954958 |         17.901590 |
| cvc5_v5_cvc5         |         14.957973 |         17.455087 |         14.796964 |         17.904100 |
| eclipse_eclipse      |         17.512676 |         27.161106 |         39.609483 |         22.089664 |
| eclipse_v1_eclipse   |         78.056546 |         46.674672 |        261.639211 |         23.683542 |
| eclipse_v2_eclipse   | TIMEOUT           |        267.716923 |         40.929818 |         22.795007 |
| eclipse_v3_eclipse   |         17.977907 |         28.964800 |         39.249612 |         21.849471 |
| eclipse_v4_eclipse   |         19.254335 |         29.291479 |         39.394674 |         22.140693 |
| eclipse_v5_eclipse   | TIMEOUT           |        175.107446 |         38.370046 |         23.236433 |
| xalan_xalan          |          3.408741 |          7.959904 |        102.633389 |          7.806366 |
| xalan_v1_xalan       |          4.464014 |          8.892044 |        101.367257 |          8.160713 |
| xalan_v2_xalan       |        150.233116 |         18.847303 |        101.583963 |          7.720375 |
| xalan_v3_xalan       |          4.134744 |          8.221316 |        102.178034 |          8.095982 |
| xalan_v4_xalan       |          4.222236 |          8.062362 |         98.031223 |          8.091020 |
| xalan_v5_xalan       |        135.981347 |          8.582826 |        104.791314 |          7.870935 |
| z3_z3                |         28.972772 |         32.117700 | ERROR             |         37.214227 |
| z3_v1_z3             |         26.931476 |         32.852917 |         30.037691 |         31.874055 |
| z3_v2_z3             |         29.261958 |         33.371475 | ERROR             |         36.432616 |
| z3_v3_z3             |         29.446927 |         32.574283 |         29.469196 |         31.288588 |
| z3_v4_z3             |         27.721928 |         32.100349 | ERROR             |         37.584498 |
| z3_v5_z3             |         29.371220 |         34.017171 |         30.281865 |         32.088160 |
| zxing_zxing          |          4.115046 |         10.192609 |         73.761500 |          9.964200 |
| zxing_v1_zxing       |          7.322040 |         12.476797 |         80.462239 |         10.296543 |
| zxing_v2_zxing       | TIMEOUT           |         26.940229 |         76.692434 |          9.757150 |
| zxing_v3_zxing       |          5.189977 |         11.114500 |         74.429195 |         10.806204 |
| zxing_v4_zxing       |          5.012989 |         10.488047 |         75.334978 |         10.224141 |
