Program              Dataset              FlowLog_Load(s)      FlowLog_Exec(s)     
-------------------- -------------------- -------------------- --------------------
cc                   livejournal          3.3904               42.7765             
cc_v1                livejournal          3.2833               42.5317             
cc                   orkut                5.5177               62.4726             
cc_v1                orkut                5.5311               62.2006             
cc                   arabic               32.7032              368.5424            
cc_v1                arabic               32.5638              372.8093            
cc                   twitter              83.6501              851.6884            
cc_v1                twitter              84.4421              871.9692            
reach                livejournal          3.2082               8.1220              
reach_v1             livejournal          3.2249               8.0810              
reach                orkut                5.3847               13.6518             
reach_v1             orkut                5.4743               13.6939             
reach                arabic               32.4778              55.1849             
reach_v1             arabic               32.6230              55.0691             
reach                twitter              83.8768              190.9795            
reach_v1             twitter              83.9492              190.8924            
tc                   G10K-0.001           0.0057               76.0612             
tc_v1                G10K-0.001           0.0057               80.4271             
tc                   G20K-0.001           0.0186               544.2841            
tc_v1                G20K-0.001           0.0185               541.1736            
tc                   G40K-0.001           0.0691               900
tc_v1                G40K-0.001           900.0000             900.0000            
sg                   G10K-0.001           0.0058               177.5510            
sg_v1                G10K-0.001           0.0058               187.3477            
sg_v2                G10K-0.001           0.0058               169.4802 
sg                   G20K-0.001           900.00               900.00            
sg_v1                G20K-0.001           900.00               900.00            
sg_v2                G20K-0.001           900.00               900.00            
crdt_slow            crdt                 0.0164               247.7503            
crdt_slow_v1         crdt                 0.0166               248.7736                      
sssp                 livejournal-sssp     3.5956               10.2865             
sssp_v1              livejournal-sssp     3.5836               9.5305              
sssp                 orkut-sssp           6.0666               15.1725             
sssp_v1              orkut-sssp           6.0417               15.1511             
sssp                 arabic-sssp          34.4014              64.8541             
sssp_v1              arabic-sssp          35.0990              65.2856             
sssp                 twitter-sssp         87.4205              215.6270            
sssp_v1              twitter-sssp         87.5571              215.1536              
bipartite            netflix              5.0982               22.7410             
bipartite_v1         netflix              5.0010               22.7326             
bipartite_v2         netflix              5.1432               22.6814             
bipartite_v3         netflix              5.1322               22.7078             
bipartite            roadNet-CA           0.2653               3.2088              
bipartite_v1         roadNet-CA           0.2657               3.2189              
bipartite_v2         roadNet-CA           0.2675               3.2223              
